function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,772.5279235925334,-183.1346473157025,0.59,0.41,0.007245785591138978,0.7125395149678387,0.008694942709366774,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,772.6706267944583,-296.62265260187456,0.59,0.41,0.006332857655442997,0.7127032534522347,0.007861478468825789,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,785.1307085972703,-165.06003099436293,0.59,0.41,0.00853049051665323,0.7239069497064812,0.009596801831234885,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,31784.610448487227,-37674.6447805527,0.9,0.1,3.1686412518635367e-15,0.44468705930407887,8.77469885131441e-15,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,31784.65038499892,-37674.74856099834,0.9,0.1,3.4412810293497968e-15,0.4446880774947975,8.849008361185191e-15,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,31034.774222856082,-37674.65207957549,0.9,0.1,3.1686412518635367e-15,0.43419567399634706,8.77469885131441e-15,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,294630.4515314406,-620317.3470573493,0.99,0.01,4.266322730718234e-18,0.3022840177606486,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,294630.38492763764,-620317.4553029037,0.99,0.01,4.266322730718234e-18,0.30228394477272524,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896397,294630.43796168757,-620317.0468367639,0.99,0.01,4.266322730718234e-18,0.3022840355659057,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,22.53477261077699,-6.481236128559136,0.61,0.39,0.001402171019698284,0.6852031316786217,0.001802791311040651,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
