function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,21.402377574040663,-3.3382561243420232,0.55,0.45,0.007627245069920197,0.768164796601897,0.00885744588764926,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,21.709683741668556,-5.069016704637309,0.55,0.45,0.011498623474520207,0.7282295165872429,0.012543952881294772,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,104.49298596865736,-38.84128583220361,0.89,0.11,1.8019328432324396e-14,0.7092635410259059,4.324638823757855e-14,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,110.92063416300564,-35.1046767249787,0.92,0.08,6.166069759616457e-17,0.7521250385582092,2.7747313918274057e-16,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,108.5709722961257,-31.2629414450224,0.93,0.07,1.2733079538420982e-16,0.7449372095850185,4.583908633831553e-16,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,353.90750358683704,-48.635598400018836,0.79,0.21,2.9955051713902096e-10,0.8923069631332831,5.991010342780419e-10,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,354.87574947824635,-33.246049739603365,0.81,0.19,6.092187697490645e-09,0.8961805657973608,1.0965937855483162e-08,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,357.45903069909775,-36.96853760624393,0.73,0.27,2.701284296002611e-08,0.8981313503757122,4.630773078861619e-08,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,10.280012411408856,2.1667428996053584,0.26,0.74,2.8586825773647623e-05,1.290877532562118,4.2880238660471434e-05,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,10.507173976304054,2.0156707156372624,0.26,0.74,0.00015334083624479915,1.2647431332966246,0.00020445444832639886,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,10.436536924421238,1.9687512311536377,0.25,0.75,8.866282125739412e-05,1.2952201778389103,0.00012276390635639187,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,65.82358441945792,28.988317206678627,0.26,0.74,4.0973322370456585e-05,2.0457768978905064,5.9001584213457484e-05,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,69.69903672832763,27.940058249224585,0.26,0.74,1.2418346489695002e-05,2.028833773834855,2.032093061950091e-05,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,64.56742034437076,28.174663946019255,0.24,0.76,2.172993678852733e-05,1.9944335686802714,3.401207497334713e-05,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,520.5422275367914,-62.47905884580223,0.58,0.42,0.05591357897020115,0.8838543367671713,0.05591357897020115,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,520.4781762078961,-67.62009211594906,0.59,0.41,0.03719430432353409,0.8556943825954851,0.03825699873277792,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,515.8980335901931,-64.83059169289834,0.59,0.41,0.02801404950478365,0.889528555877927,0.029661934769770925,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.01830198436954239,0.01829428474295114,0.0,1.0,3.89655984509591e-18,1729.4580575398097,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.1,lr_adapt_proxy,100,-0.21794884339332712,-0.16840390628863625,0.05706080136962326,0.06,0.94,9.815788244911682e-17,0.7726763017719791,3.926315297964673e-16,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.2,lr_adapt_proxy,100,-0.4586406283900504,-0.3831782618591294,0.07004816364069688,0.22,0.78,5.311468043336473e-10,0.8354651510141746,1.006383418737437e-09,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.0,lr_adapt_proxy,100,0.012083707862821896,0.29118055773923573,0.2788117941284454,0.0,1.0,3.89655984509591e-18,24.096954431935153,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.1,lr_adapt_proxy,100,-0.09197217458066785,0.2340954694339728,0.3169620104504939,0.01,0.99,4.0161556854627e-18,-2.545285794331742,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.2,lr_adapt_proxy,100,-0.23843736043551503,0.09599798114854946,0.314051758734625,0.01,0.99,4.0161556854627e-18,-0.4026130006354937,2.1941088329408057e-17,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.0,lr_adapt_proxy,100,1.6171826672837812,2.749465924587623,1.1681417571731654,0.15,0.85,3.116882971760749e-13,1.7001579229176529,6.600458057846292e-13,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.1,lr_adapt_proxy,100,1.5099065684665791,2.6756925362435284,1.1289715889764123,0.09,0.91,1.6769992593993554e-15,1.7720914605735443,5.488361212579708e-15,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.2,lr_adapt_proxy,100,1.6930524834295937,2.72429837114643,1.0112006513862672,0.13,0.87,3.116882971760749e-13,1.6091045007818396,6.600458057846292e-13,baseline,baseline,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,959.9451961685293,-242.12325002103861,0.57,0.43,0.16169360297069768,0.8854034444383437,0.17120499138073872,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,939.705959926103,-228.0301013350913,0.58,0.42,0.1487118509560032,0.8667748866114815,0.1673008323255036,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,999.6318318489243,-242.0307515157395,0.58,0.42,0.17117023411272703,0.9216814758349305,0.1760608122302335,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,31894.407120959557,-38191.8844193789,0.84,0.16,2.2920849632668923e-14,0.4462231850804895,5.157191167350508e-14,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,31894.496699952622,-38191.91376771456,0.84,0.16,2.2920849632668923e-14,0.44622489938917026,5.157191167350508e-14,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,31894.131014176033,-38191.89325071816,0.84,0.16,1.5340861010765875e-14,0.4462186066760283,3.9447928313397965e-14,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,307143.04330430273,-642141.3201482573,0.99,0.01,4.0161556854627e-18,0.31512164704859064,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,307143.1333164922,-642141.3511192359,0.99,0.01,4.0161556854627e-18,0.3151217345473966,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896397,307142.93845431315,-642141.4074437433,0.99,0.01,4.0161556854627e-18,0.31512157254985806,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,20.269311424029908,-10.838874736352935,0.61,0.39,4.28395008190758e-05,0.616318429504476,5.71193344254344e-05,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,21.52679943289454,-4.780942330669491,0.55,0.45,0.003433349985234561,0.7726304916663203,0.004262089636842903,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,22.75484696639657,-7.449790220341461,0.58,0.42,0.014919221772847817,0.7632884662686512,0.01790306612741738,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,106.56676813086926,-41.84351655399853,0.88,0.12,7.725188665215537e-14,0.7233396827501739,1.635922305575055e-13,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,106.38742577636198,-37.08510181948441,0.92,0.08,4.880034421013085e-16,0.721386487896966,1.4640103263039256e-15,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,107.92948280533088,-38.24332967310432,0.9,0.1,1.2003082792723794e-15,0.7405357624841541,3.3239306195235125e-15,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,345.95186017768157,-36.88707543921706,0.84,0.16,1.6784884860821078e-12,0.8722483999826065,3.180293973629257e-12,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,352.6978560411101,-40.522837547659606,0.73,0.27,7.40820924019081e-08,0.8906806527274801,1.269978726889853e-07,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,343.9908151071879,-55.11668871246323,0.83,0.17,6.836767705041718e-13,0.8642918733507338,1.3673535410083436e-12,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,10.260394152118359,2.1040994470409755,0.21,0.79,9.188482757952546e-06,1.2884140364949366,1.378272413692882e-05,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,10.35271374440427,2.1182165319108384,0.22,0.78,8.619379881219636e-06,1.2461508345392975,1.349120329234378e-05,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,10.613584342597346,2.467010503122104,0.22,0.78,9.122692472649753e-05,1.3171925418631667,0.00011729176036263969,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,58.70613985503512,24.380612850228644,0.22,0.78,7.9552775476599e-06,1.8245688948573524,1.3017726896170743e-05,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,56.66899306710309,25.232411345932,0.24,0.76,1.2224267823489154e-05,1.6495488669648168,1.7602945665824384e-05,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,57.56591307004825,24.664843368439726,0.23,0.77,1.7511294892273265e-05,1.7781628695445368,2.4246408312378366e-05,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,528.9196628491712,-19.4546917175945,0.57,0.43,0.15360733419330933,0.8980787976084582,0.167571637301792,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,519.9718157045913,-71.16685481668885,0.6,0.4,0.08129332564998845,0.8548618984337033,0.09440515236772852,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,535.1902882471586,-23.67914396758715,0.57,0.43,0.18218090371268514,0.9227929033018052,0.18218090371268514,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.019077219274300537,0.019036233764374032,0.0,1.0,3.89655984509591e-18,1802.7143900471906,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.1,lr_adapt_proxy,100,-0.21794884339332712,-0.15480608252347372,0.06774037209474723,0.06,0.94,2.206954746622419e-17,0.7102863227592304,8.827818986489675e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.2,lr_adapt_proxy,100,-0.4586406283900504,-0.39093613097228413,0.05709767018012016,0.2,0.8,6.912226627996223e-12,0.8523800700879316,1.2442007930393201e-11,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.0,lr_adapt_proxy,100,0.012083707862821896,0.3102474041300443,0.2942134035944009,0.0,1.0,3.89655984509591e-18,25.67485143236428,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.1,lr_adapt_proxy,100,-0.09197217458066785,0.22268155656389416,0.31188247977300854,0.0,1.0,3.89655984509591e-18,-2.421183989387817,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.2,lr_adapt_proxy,100,-0.23843736043551503,0.10819956678302717,0.31290389650669803,0.02,0.98,4.531861061109545e-18,-0.45378612892458,2.3306714028563373e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.0,lr_adapt_proxy,100,1.6171826672837812,3.3920944442918417,1.6481411426683223,0.06,0.94,1.5932071996658114e-17,2.0975332675245655,7.169432398496152e-17,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.1,lr_adapt_proxy,100,1.5099065684665791,3.584094536650565,1.8918339592230933,0.07,0.93,1.1343790772756809e-16,2.3737194151625394,4.083764678192451e-16,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.2,lr_adapt_proxy,100,1.6930524834295937,3.461143719805353,1.5927147426859312,0.1,0.9,4.001557931101309e-16,2.044321575190723,1.3096007774513374e-15,ema_alpha_0.1,ema_alpha,True,0.1,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,928.2961056804202,-136.55094654828457,0.53,0.47,0.060473513867824014,0.8562119720049601,0.06220132854976184,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,914.88035513606,-136.30182931154525,0.53,0.47,0.050823326532977525,0.8438760100537089,0.05381293397609385,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,896.5915323480915,-147.47903908156098,0.53,0.47,0.046883429552031536,0.82667616259001,0.05114555951130713,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,30950.2657797871,-37636.004889952106,0.86,0.14,3.5371953550330525e-15,0.43301404296267665,1.0611586065099157e-14,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,30950.28291861729,-37636.24231374296,0.86,0.14,3.5371953550330525e-15,0.4330147301382834,1.0611586065099157e-14,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,30767.88707881979,-37635.76464390522,0.86,0.14,3.5371953550330525e-15,0.4304617578881237,1.0611586065099157e-14,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,269893.4105979571,-685157.4255146114,0.99,0.01,4.0161556854627e-18,0.2769043868297125,2.128820867338844e-17,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,269893.46276146785,-685157.5102807562,0.99,0.01,4.0161556854627e-18,0.27690443608504456,2.128820867338844e-17,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896397,269893.5566724271,-685157.6062280585,0.99,0.01,4.0161556854627e-18,0.27690456576243366,2.128820867338844e-17,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,21.281054171936113,-8.668810375309114,0.62,0.38,4.3479279216686876e-05,0.6470819659861766,8.238179220003829e-05,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,22.114692332631762,-2.8672020590164173,0.57,0.43,0.012073897894067659,0.793730887086785,0.014021300780207602,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,21.91075241876755,-7.275887954622197,0.59,0.41,0.0017343431991457034,0.734974163228207,0.0022298698274730473,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,111.58163004622057,-36.47332159618158,0.88,0.12,4.564456497586088e-13,0.7573788930078357,1.1737173850935655e-12,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,108.17985914086535,-38.30588816800307,0.95,0.05,3.861843481183515e-17,0.7335405296004145,1.737829566532582e-16,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,109.02695831927142,-35.197452760499104,0.89,0.11,2.5500003530567317e-14,0.7480658631146697,7.061539439234026e-14,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,356.9837273330094,-44.375751282409254,0.73,0.27,1.6663533316051445e-09,0.9000630458414646,3.749294996111575e-09,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,349.7199251369418,-35.750741089476776,0.78,0.22,1.6024900691043561e-10,0.883160376105235,3.845976165850455e-10,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,367.22007190121866,-32.72400773821647,0.78,0.22,6.89027241046785e-09,0.9226563906265863,1.4591165104520153e-08,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,10.154520090946086,2.0613351799585686,0.24,0.76,8.021440667889499e-05,1.275119261996735,0.00013751041144953425,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,10.542683352464874,2.064163361941649,0.25,0.75,0.0002159076122813839,1.2690173786615844,0.0003379423496578183,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,10.259843147645725,1.9771499361480895,0.24,0.76,8.021440667889499e-05,1.2732917022693284,0.00013751041144953425,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,65.7553497541861,25.494636812577344,0.29,0.71,0.00035837215484588663,2.043656185336191,0.00053755823226883,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,61.937829631709775,24.420079975132296,0.31,0.69,0.0010124697245583302,1.8029167479694836,0.0014018811570807648,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,59.53799446483507,24.524134957565025,0.29,0.71,0.0005422759138800562,1.8390788131110443,0.000780877315987281,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,485.72903425178094,-72.7762161762061,0.6,0.4,0.002162291575214179,0.8247432978659219,0.002684224024403808,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,492.99360441269835,-70.28036805208706,0.62,0.38,0.0012440340007009926,0.8105082542076562,0.0016587120009346568,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,483.3144366819572,-68.18912362872152,0.59,0.41,0.0029710961771372605,0.8333468338787399,0.0035653154125647123,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.01989114417816117,0.019867949883935865,0.0,1.0,3.89655984509591e-18,1879.6267594816577,2.128820867338844e-17,ema_alpha_0.4,ema_alpha,True,0.4,0.25,0.08,1.03,0.9,0.1,10.0
