function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,10,98263.39023068761,64484.966033300436,-7356.264906770231,0.5,0.5,0.76953125,0.6562460941141212,0.8029891304347826
ellipsoid_cond1e6,10,0.0,pop4x,10,98263.39023068761,280355.6412496267,201950.4320900912,0.2,0.8,0.009765625,2.853103689903748,0.024245689655172414
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,10,98263.40537172413,64484.91213135019,-7356.3480537599025,0.5,0.5,0.76953125,0.6562454444501279,0.8029891304347826
ellipsoid_cond1e6,10,0.1,pop4x,10,98263.40537172413,280355.6031869664,201950.36681873546,0.2,0.8,0.009765625,2.8531028629264292,0.024245689655172414
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,10,98263.26661893007,64484.84784357311,-7356.305512403023,0.5,0.5,0.76953125,0.6562457168623207,0.8029891304347826
ellipsoid_cond1e6,10,0.2,pop4x,10,98263.26661893007,280355.6435844315,201950.4479622791,0.2,0.8,0.009765625,2.853107302769253,0.024245689655172414
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,10,905846.7914329738,522281.64057497925,-311707.5237527233,0.7,0.3,0.130859375,0.5765673020144758,0.2298018292682927
ellipsoid_cond1e6,20,0.0,pop4x,10,905846.7914329738,1132227.2495769933,341045.45539545716,0.4,0.6,0.16015625,1.2499103162753433,0.2620738636363636
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,10,905846.7470989116,522281.58999301144,-311707.64615784417,0.7,0.3,0.130859375,0.5765672743934712,0.2298018292682927
ellipsoid_cond1e6,20,0.1,pop4x,10,905846.7470989116,1132227.1098628528,341045.41425580456,0.4,0.6,0.16015625,1.2499102232126493,0.2620738636363636
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,10,905846.8210223536,522281.5130920826,-311707.44838840794,0.7,0.3,0.130859375,0.5765671424475797,0.2298018292682927
ellipsoid_cond1e6,20,0.2,pop4x,10,905846.8210223536,1132227.391085676,341045.43537411833,0.4,0.6,0.16015625,1.2499104316641807,0.2620738636363636
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,10,3186792.200018701,2894830.2927994784,-353084.4993525364,0.7,0.3,0.625,0.9083837637052364,0.703125
ellipsoid_cond1e6,40,0.0,pop4x,10,3186792.200018701,4689459.60324345,1932414.826032714,0.1,0.9,0.005859375,1.4715297731731396,0.017578125
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,10,3186792.2923565214,2894830.3379945327,-353084.37405298697,0.7,0.3,0.625,0.9083837515666598,0.703125
ellipsoid_cond1e6,40,0.1,pop4x,10,3186792.2923565214,4689459.644793235,1932414.825355784,0.1,0.9,0.005859375,1.4715297435734487,0.017578125
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,10,3186792.0626770407,2894830.082983206,-353084.5744650597,0.7,0.3,0.625,0.9083837370146535,0.703125
ellipsoid_cond1e6,40,0.2,pop4x,10,3186792.0626770407,4689459.595071107,1932414.884621587,0.1,0.9,0.005859375,1.4715298340274394,0.017578125
rastrigin,10,0.0,lr_adapt_proxy,10,66.71520502291919,66.3970360376876,-4.0331423371132615,0.6,0.4,0.232421875,0.9952309374583757,0.3486328125
rastrigin,10,0.0,pop4x,10,66.71520502291919,90.35867283321984,22.16598802654797,0.0,1.0,0.001953125,1.3543939916272194,0.0087890625
rastrigin,10,0.1,lr_adapt_proxy,10,66.8446748598758,67.25866164807604,-3.8602471447122824,0.6,0.4,0.375,1.006193265044195,0.5094339622641509
rastrigin,10,0.1,pop4x,10,66.8446748598758,94.6374874539188,21.042687492946854,0.1,0.9,0.005859375,1.4157819998721533,0.017578125
rastrigin,10,0.2,lr_adapt_proxy,10,70.4274288108089,73.25070119754004,1.2868989204407626,0.3,0.7,0.431640625,1.0400876822340819,0.5755208333333334
rastrigin,10,0.2,pop4x,10,70.4274288108089,94.91595394549165,22.198014949262884,0.0,1.0,0.001953125,1.3477128946516979,0.0087890625
rastrigin,20,0.0,lr_adapt_proxy,10,195.5851391667338,203.44853727568068,6.452842219729433,0.4,0.6,1.0,1.0402044763853118,1.0
rastrigin,20,0.0,pop4x,10,195.5851391667338,226.9204559430334,34.24708438007541,0.2,0.8,0.009765625,1.1602131783109895,0.024245689655172414
rastrigin,20,0.1,lr_adapt_proxy,10,193.45495305458306,203.71154936689425,13.777806075521156,0.3,0.7,0.4921875,1.0530180083288811,0.6217105263157895
rastrigin,20,0.1,pop4x,10,193.45495305458306,226.55204874238504,28.14487581569641,0.1,0.9,0.00390625,1.171084250701318,0.014062499999999999
rastrigin,20,0.2,lr_adapt_proxy,10,202.66594985249628,186.64127434846276,-12.764769584873108,0.8,0.2,0.10546875,0.9209305977856835,0.2052364864864865
rastrigin,20,0.2,pop4x,10,202.66594985249628,238.68521664580203,31.915396951861766,0.1,0.9,0.00390625,1.1777272739674385,0.014062499999999999
rastrigin,40,0.0,lr_adapt_proxy,10,524.4719941501835,528.9833287327475,3.449322313360369,0.5,0.5,0.845703125,1.0086016691699122,0.8698660714285714
rastrigin,40,0.0,pop4x,10,524.4719941501835,570.2464451173585,66.54715840541814,0.4,0.6,0.083984375,1.087277207320373,0.17276785714285714
rastrigin,40,0.1,lr_adapt_proxy,10,524.5368937897513,526.2904875648413,4.964602865582009,0.5,0.5,0.76953125,1.0033431276157154,0.8029891304347826
rastrigin,40,0.1,pop4x,10,524.5368937897513,567.3208268655026,32.18865347045573,0.4,0.6,0.130859375,1.0815651550582832,0.2298018292682927
rastrigin,40,0.2,lr_adapt_proxy,10,553.2788226490906,520.954435842129,-12.791957041850338,0.8,0.2,0.064453125,0.9415766780080378,0.14969758064516128
rastrigin,40,0.2,pop4x,10,553.2788226490906,558.2969017836758,35.95151978717348,0.4,0.6,0.10546875,1.009069711200148,0.2052364864864865
rosenbrock,10,0.0,lr_adapt_proxy,10,444.9568665929986,369.02519382121966,-75.93167277177895,0.6,0.4,0.322265625,0.8293504865916957,0.4462139423076923
rosenbrock,10,0.0,pop4x,10,444.9568665929986,3255.2622564189787,2719.7885077312585,0.0,1.0,0.001953125,7.315905205248945,0.0087890625
rosenbrock,10,0.1,lr_adapt_proxy,10,444.93985457802466,369.04061999150633,-75.8992345865183,0.6,0.4,0.322265625,0.8294168665594135,0.4462139423076923
rosenbrock,10,0.1,pop4x,10,444.93985457802466,3255.326932884453,2719.915738630477,0.0,1.0,0.001953125,7.316330284621871,0.0087890625
rosenbrock,10,0.2,lr_adapt_proxy,10,444.86520221631076,368.9195534686139,-75.94564874769688,0.6,0.4,0.322265625,0.8292839080932001,0.4462139423076923
rosenbrock,10,0.2,pop4x,10,444.86520221631076,3255.1500062597206,2719.604774912106,0.0,1.0,0.001953125,7.317160321919133,0.0087890625
rosenbrock,20,0.0,lr_adapt_proxy,10,7652.1449341897915,8376.64928295837,-123.74279674541094,0.5,0.5,0.625,1.0946799041313884,0.703125
