run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
44,eval,vanilla_cma,sphere,20,0.1,103,200,10,ok,,200,20,30.043226437409448,1.0,0.0,0.010706901550292969
45,eval,vanilla_cma,sphere,20,0.1,104,200,10,ok,,200,20,33.752776567651914,1.0,0.0,0.01038503646850586
46,eval,vanilla_cma,sphere,20,0.1,105,200,10,ok,,200,20,22.398290085260125,1.0,0.0,0.014060020446777344
47,eval,vanilla_cma,sphere,20,0.1,106,200,10,ok,,200,20,17.769931838716808,1.0,0.0,0.009377002716064453
48,eval,vanilla_cma,sphere,20,0.1,107,200,10,ok,,200,20,35.44310925622507,1.0,0.0,0.013645172119140625
49,eval,vanilla_cma,sphere,20,0.1,108,200,10,ok,,200,20,21.01321073076638,1.0,0.0,0.010270118713378906
50,eval,vanilla_cma,sphere,20,0.1,109,200,10,ok,,200,20,27.177055844375047,1.0,0.0,0.011579036712646484
51,eval,vanilla_cma,sphere,20,0.2,100,200,10,ok,,200,20,23.670943541222456,1.0,0.0,0.010408163070678711
52,eval,vanilla_cma,sphere,20,0.2,101,200,10,ok,,200,20,34.70290908519697,1.0,0.0,0.01028132438659668
53,eval,vanilla_cma,sphere,20,0.2,102,200,10,ok,,200,20,26.686134167785678,1.0,0.0,0.016717195510864258
54,eval,vanilla_cma,sphere,20,0.2,103,200,10,ok,,200,20,40.357756145261924,1.0,0.0,0.01275324821472168
55,eval,vanilla_cma,sphere,20,0.2,104,200,10,ok,,200,20,36.99026921640429,1.0,0.0,0.009421825408935547
56,eval,vanilla_cma,sphere,20,0.2,105,200,10,ok,,200,20,18.802702190828732,1.0,0.0,0.012298107147216797
57,eval,vanilla_cma,sphere,20,0.2,106,200,10,ok,,200,20,23.339868275448833,1.0,0.0,0.00929570198059082
58,eval,vanilla_cma,sphere,20,0.2,107,200,10,ok,,200,20,35.42914414761672,1.0,0.0,0.011223793029785156
59,eval,vanilla_cma,sphere,20,0.2,108,200,10,ok,,200,20,21.408444619831243,1.0,0.0,0.013211250305175781
60,eval,vanilla_cma,sphere,20,0.2,109,200,10,ok,,200,20,19.27262994496162,1.0,0.0,0.009118080139160156
61,eval,vanilla_cma,sphere,40,0.0,100,200,10,ok,,200,20,112.87319157132919,1.0,0.0,0.019543886184692383
62,eval,vanilla_cma,sphere,40,0.0,101,200,10,ok,,200,20,119.06073112698597,1.0,0.0,0.014278888702392578
63,eval,vanilla_cma,sphere,40,0.0,102,200,10,ok,,200,20,138.94832813037522,1.0,0.0,0.016286134719848633
64,eval,vanilla_cma,sphere,40,0.0,103,200,10,ok,,200,20,93.52848002767358,1.0,0.0,0.01617598533630371
65,eval,vanilla_cma,sphere,40,0.0,104,200,10,ok,,200,20,111.82473550196005,1.0,0.0,0.012231826782226562
66,eval,vanilla_cma,sphere,40,0.0,105,200,10,ok,,200,20,123.61075704556238,1.0,0.0,0.01223897933959961
67,eval,vanilla_cma,sphere,40,0.0,106,200,10,ok,,200,20,128.34081311012616,1.0,0.0,0.013238191604614258
68,eval,vanilla_cma,sphere,40,0.0,107,200,10,ok,,200,20,103.57663354965673,1.0,0.0,0.01618194580078125
69,eval,vanilla_cma,sphere,40,0.0,108,200,10,ok,,200,20,83.9375938208508,1.0,0.0,0.01248621940612793
70,eval,vanilla_cma,sphere,40,0.0,109,200,10,ok,,200,20,81.86864945576191,1.0,0.0,0.04295229911804199
71,eval,vanilla_cma,sphere,40,0.1,100,200,10,ok,,200,20,112.78498044683784,1.0,0.0,0.012362957000732422
