run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
1,eval,vanilla_cma,sphere,10,0.0,1000,1000,10,ok,,1000,100,4.5271006638323166e-05,1.0,0.0,0.052284955978393555
2,eval,vanilla_cma,sphere,10,0.0,1001,1000,10,ok,,1000,100,3.4448773630602864e-05,1.0,0.0,0.038475751876831055
3,eval,vanilla_cma,sphere,10,0.0,1002,1000,10,ok,,1000,100,3.6621518333454724e-05,1.0,0.0,0.04001593589782715
4,eval,vanilla_cma,sphere,10,0.0,1003,1000,10,ok,,1000,100,1.021741972026218e-05,1.0,0.0,0.03482794761657715
5,eval,vanilla_cma,sphere,10,0.0,1004,1000,10,ok,,1000,100,8.853186794275138e-06,1.0,0.0,0.03632712364196777
6,eval,vanilla_cma,sphere,10,0.0,1005,1000,10,ok,,1000,100,1.327652050101939e-05,1.0,0.0,0.040782928466796875
7,eval,vanilla_cma,sphere,10,0.0,1006,1000,10,ok,,1000,100,5.798383312265393e-06,1.0,0.0,0.04559898376464844
8,eval,vanilla_cma,sphere,10,0.0,1007,1000,10,ok,,1000,100,9.826956450974887e-06,1.0,0.0,0.03403306007385254
9,eval,vanilla_cma,sphere,10,0.0,1008,1000,10,ok,,1000,100,1.3459429022556809e-05,1.0,0.0,0.0520930290222168
10,eval,vanilla_cma,sphere,10,0.0,1009,1000,10,ok,,1000,100,5.45364443340885e-06,1.0,0.0,0.042725324630737305
11,eval,vanilla_cma,sphere,10,0.0,1010,1000,10,ok,,1000,100,3.1379121239457085e-05,1.0,0.0,0.046849966049194336
12,eval,vanilla_cma,sphere,10,0.0,1011,1000,10,ok,,1000,100,7.85167011225951e-05,1.0,0.0,0.035494089126586914
13,eval,vanilla_cma,sphere,10,0.0,1012,1000,10,ok,,1000,100,1.0731310090570998e-05,1.0,0.0,0.03473186492919922
14,eval,vanilla_cma,sphere,10,0.0,1013,1000,10,ok,,1000,100,4.464644883345778e-05,1.0,0.0,0.04187893867492676
15,eval,vanilla_cma,sphere,10,0.0,1014,1000,10,ok,,1000,100,6.390407803475652e-06,1.0,0.0,0.04344797134399414
16,eval,vanilla_cma,sphere,10,0.0,1015,1000,10,ok,,1000,100,1.5174218311142471e-05,1.0,0.0,0.039794206619262695
17,eval,vanilla_cma,sphere,10,0.0,1016,1000,10,ok,,1000,100,3.1271866301344536e-05,1.0,0.0,0.038475990295410156
18,eval,vanilla_cma,sphere,10,0.0,1017,1000,10,ok,,1000,100,1.6102220826332598e-05,1.0,0.0,0.043766021728515625
19,eval,vanilla_cma,sphere,10,0.0,1018,1000,10,ok,,1000,100,4.200845628208085e-05,1.0,0.0,0.04356718063354492
20,eval,vanilla_cma,sphere,10,0.0,1019,1000,10,ok,,1000,100,1.57467314896111e-05,1.0,0.0,0.04170393943786621
21,eval,vanilla_cma,sphere,10,0.0,1020,1000,10,ok,,1000,100,1.3505513330061401e-05,1.0,0.0,0.03749394416809082
22,eval,vanilla_cma,sphere,10,0.0,1021,1000,10,ok,,1000,100,7.144418042748617e-06,1.0,0.0,0.037953853607177734
23,eval,vanilla_cma,sphere,10,0.0,1022,1000,10,ok,,1000,100,8.230274874310426e-06,1.0,0.0,0.04513216018676758
24,eval,vanilla_cma,sphere,10,0.0,1023,1000,10,ok,,1000,100,5.074176853456242e-06,1.0,0.0,0.037422895431518555
25,eval,vanilla_cma,sphere,10,0.0,1024,1000,10,ok,,1000,100,2.914841725766232e-06,1.0,0.0,0.04007601737976074
26,eval,vanilla_cma,sphere,10,0.0,1025,1000,10,ok,,1000,100,3.640888235083292e-06,1.0,0.0,0.048979997634887695
27,eval,vanilla_cma,sphere,10,0.0,1026,1000,10,ok,,1000,100,3.0778332540947445e-05,1.0,0.0,0.04395484924316406
28,eval,vanilla_cma,sphere,10,0.0,1027,1000,10,ok,,1000,100,5.4733720996007004e-05,1.0,0.0,0.03356289863586426
29,eval,vanilla_cma,sphere,10,0.0,1028,1000,10,ok,,1000,100,5.228982981963901e-06,1.0,0.0,0.035959720611572266
30,eval,vanilla_cma,sphere,10,0.0,1029,1000,10,ok,,1000,100,1.8532786966021284e-05,1.0,0.0,0.03900599479675293
31,eval,vanilla_cma,sphere,10,0.0,1030,1000,10,ok,,1000,100,6.185583381625111e-06,1.0,0.0,0.03494405746459961
32,eval,vanilla_cma,sphere,10,0.0,1031,1000,10,ok,,1000,100,8.677569882318685e-06,1.0,0.0,0.04981803894042969
33,eval,vanilla_cma,sphere,10,0.0,1032,1000,10,ok,,1000,100,6.686655372990386e-06,1.0,0.0,0.04662299156188965
34,eval,vanilla_cma,sphere,10,0.0,1033,1000,10,ok,,1000,100,1.4589152191938853e-05,1.0,0.0,0.03318285942077637
35,eval,vanilla_cma,sphere,10,0.0,1034,1000,10,ok,,1000,100,1.043368352086974e-05,1.0,0.0,0.051621198654174805
36,eval,vanilla_cma,sphere,10,0.0,1035,1000,10,ok,,1000,100,1.579646243900794e-05,1.0,0.0,0.03309893608093262
37,eval,vanilla_cma,sphere,10,0.0,1036,1000,10,ok,,1000,100,9.52956106394727e-06,1.0,0.0,0.047351837158203125
38,eval,vanilla_cma,sphere,10,0.0,1037,1000,10,ok,,1000,100,9.835274550777336e-06,1.0,0.0,0.0371546745300293
39,eval,vanilla_cma,sphere,10,0.0,1038,1000,10,ok,,1000,100,3.555425433570228e-05,1.0,0.0,0.03719687461853027
40,eval,vanilla_cma,sphere,10,0.0,1039,1000,10,ok,,1000,100,2.1584531304822985e-05,1.0,0.0,0.036164283752441406
41,eval,vanilla_cma,sphere,10,0.0,1040,1000,10,ok,,1000,100,8.550800921558653e-06,1.0,0.0,0.03994488716125488
42,eval,vanilla_cma,sphere,10,0.0,1041,1000,10,ok,,1000,100,4.2820338062446045e-05,1.0,0.0,0.04967999458312988
43,eval,vanilla_cma,sphere,10,0.0,1042,1000,10,ok,,1000,100,2.2192579894290764e-06,1.0,0.0,0.04950284957885742
44,eval,vanilla_cma,sphere,10,0.0,1043,1000,10,ok,,1000,100,2.2516417173617817e-05,1.0,0.0,0.04644775390625
45,eval,vanilla_cma,sphere,10,0.0,1044,1000,10,ok,,1000,100,3.4796795828272955e-05,1.0,0.0,0.03698897361755371
46,eval,vanilla_cma,sphere,10,0.0,1045,1000,10,ok,,1000,100,4.22174207081329e-05,1.0,0.0,0.03782987594604492
47,eval,vanilla_cma,sphere,10,0.0,1046,1000,10,ok,,1000,100,1.7421396171528103e-06,1.0,0.0,0.047483205795288086
48,eval,vanilla_cma,sphere,10,0.0,1047,1000,10,ok,,1000,100,8.092717968805525e-06,1.0,0.0,0.0494389533996582
49,eval,vanilla_cma,sphere,10,0.0,1048,1000,10,ok,,1000,100,7.871663613456565e-06,1.0,0.0,0.033593177795410156
50,eval,vanilla_cma,sphere,10,0.0,1049,1000,10,ok,,1000,100,4.5040578055819e-06,1.0,0.0,0.046425819396972656
51,eval,vanilla_cma,sphere,10,0.0,1050,1000,10,ok,,1000,100,5.979831864893975e-06,1.0,0.0,0.048605918884277344
52,eval,vanilla_cma,sphere,10,0.0,1051,1000,10,ok,,1000,100,1.4896567266610783e-05,1.0,0.0,0.04184699058532715
53,eval,vanilla_cma,sphere,10,0.0,1052,1000,10,ok,,1000,100,2.691925906670349e-05,1.0,0.0,0.035295963287353516
54,eval,vanilla_cma,sphere,10,0.0,1053,1000,10,ok,,1000,100,1.2862695166406772e-05,1.0,0.0,0.03733110427856445
55,eval,vanilla_cma,sphere,10,0.0,1054,1000,10,ok,,1000,100,5.6709067299555586e-06,1.0,0.0,0.03917694091796875
56,eval,vanilla_cma,sphere,10,0.0,1055,1000,10,ok,,1000,100,2.190248398758932e-05,1.0,0.0,0.045030832290649414
57,eval,vanilla_cma,sphere,10,0.0,1056,1000,10,ok,,1000,100,5.953907224381383e-06,1.0,0.0,0.044777870178222656
58,eval,vanilla_cma,sphere,10,0.0,1057,1000,10,ok,,1000,100,2.2891938397325457e-06,1.0,0.0,0.03574204444885254
59,eval,vanilla_cma,sphere,10,0.0,1058,1000,10,ok,,1000,100,7.357691204952082e-06,1.0,0.0,0.035945892333984375
60,eval,vanilla_cma,sphere,10,0.0,1059,1000,10,ok,,1000,100,4.803190360775385e-06,1.0,0.0,0.043144941329956055
61,eval,vanilla_cma,sphere,10,0.0,1060,1000,10,ok,,1000,100,5.3988332026822755e-06,1.0,0.0,0.04593300819396973
62,eval,vanilla_cma,sphere,10,0.0,1061,1000,10,ok,,1000,100,4.989461068403126e-06,1.0,0.0,0.042500972747802734
