run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
1,tune_baseline,vanilla_cma,sphere,10,0.1,0,1000,10,0.0,ok,,1000,100,-0.2384092845586685,1.0,0.0,1.0,0.038841962814331055
2,tune_baseline,vanilla_cma,sphere,10,0.1,1,1000,10,0.0,ok,,1000,100,-0.23752646858611762,1.0,0.0,1.0,0.04280710220336914
3,tune_baseline,vanilla_cma,sphere,10,0.1,2,1000,10,0.0,ok,,1000,100,-0.1916961265116106,1.0,0.0,1.0,0.04136395454406738
4,tune_baseline,vanilla_cma,sphere,10,0.1,3,1000,10,0.0,ok,,1000,100,-0.23184667826279626,1.0,0.0,1.0,0.03720593452453613
5,tune_baseline,vanilla_cma,sphere,10,0.1,4,1000,10,0.0,ok,,1000,100,-0.33216956313592866,1.0,0.0,1.0,0.0359950065612793
6,tune_baseline,vanilla_cma,sphere,10,0.1,5,1000,10,0.0,ok,,1000,100,-0.21023328188651183,1.0,0.0,1.0,0.0477910041809082
7,tune_baseline,vanilla_cma,sphere,10,0.1,6,1000,10,0.0,ok,,1000,100,-0.24782816983929373,1.0,0.0,1.0,0.036681175231933594
8,tune_baseline,vanilla_cma,sphere,10,0.1,7,1000,10,0.0,ok,,1000,100,-0.2201762508623548,1.0,0.0,1.0,0.04065108299255371
9,tune_baseline,vanilla_cma,sphere,10,0.1,8,1000,10,0.0,ok,,1000,100,-0.17958076471651815,1.0,0.0,1.0,0.03385186195373535
10,tune_baseline,vanilla_cma,sphere,10,0.1,9,1000,10,0.0,ok,,1000,100,-0.24573658149950597,1.0,0.0,1.0,0.04236173629760742
11,tune_baseline,vanilla_cma,sphere,10,0.1,10,1000,10,0.0,ok,,1000,100,-0.22834278513976225,1.0,0.0,1.0,0.047273874282836914
12,tune_baseline,vanilla_cma,sphere,10,0.1,11,1000,10,0.0,ok,,1000,100,-0.21710960780063288,1.0,0.0,1.0,0.04888486862182617
13,tune_baseline,vanilla_cma,sphere,10,0.1,12,1000,10,0.0,ok,,1000,100,-0.22018448064087304,1.0,0.0,1.0,0.03799009323120117
14,tune_baseline,vanilla_cma,sphere,10,0.1,13,1000,10,0.0,ok,,1000,100,-0.18083610844454456,1.0,0.0,1.0,0.0490260124206543
15,tune_baseline,vanilla_cma,sphere,10,0.1,14,1000,10,0.0,ok,,1000,100,-0.15305500236046943,1.0,0.0,1.0,0.04276394844055176
16,tune_baseline,vanilla_cma,sphere,10,0.1,15,1000,10,0.0,ok,,1000,100,-0.19417254088105373,1.0,0.0,1.0,0.04164290428161621
17,tune_baseline,vanilla_cma,sphere,10,0.1,16,1000,10,0.0,ok,,1000,100,-0.26969855903273576,1.0,0.0,1.0,0.03689074516296387
18,tune_baseline,vanilla_cma,sphere,10,0.1,17,1000,10,0.0,ok,,1000,100,-0.23802878122544668,1.0,0.0,1.0,0.037214040756225586
19,tune_baseline,vanilla_cma,sphere,10,0.1,18,1000,10,0.0,ok,,1000,100,-0.26366864885838226,1.0,0.0,1.0,0.050981998443603516
20,tune_baseline,vanilla_cma,sphere,10,0.1,19,1000,10,0.0,ok,,1000,100,-0.26249803575405145,1.0,0.0,1.0,0.038126230239868164
21,tune_baseline,vanilla_cma,sphere,10,0.1,20,1000,10,0.0,ok,,1000,100,-0.23551811541767737,1.0,0.0,1.0,0.048944950103759766
22,tune_baseline,vanilla_cma,sphere,10,0.1,21,1000,10,0.0,ok,,1000,100,-0.2688024470737184,1.0,0.0,1.0,0.03993797302246094
23,tune_baseline,vanilla_cma,sphere,10,0.1,22,1000,10,0.0,ok,,1000,100,-0.19838803470777672,1.0,0.0,1.0,0.04098987579345703
24,tune_baseline,vanilla_cma,sphere,10,0.1,23,1000,10,0.0,ok,,1000,100,-0.2020136517006213,1.0,0.0,1.0,0.03606104850769043
25,tune_baseline,vanilla_cma,sphere,10,0.1,24,1000,10,0.0,ok,,1000,100,-0.24552746516570118,1.0,0.0,1.0,0.04149794578552246
26,tune_baseline,vanilla_cma,sphere,10,0.1,25,1000,10,0.0,ok,,1000,100,-0.20130085136525686,1.0,0.0,1.0,0.03820180892944336
27,tune_baseline,vanilla_cma,sphere,10,0.1,26,1000,10,0.0,ok,,1000,100,-0.1463439308358501,1.0,0.0,1.0,0.043276071548461914
28,tune_baseline,vanilla_cma,sphere,10,0.1,27,1000,10,0.0,ok,,1000,100,-0.24057170230139535,1.0,0.0,1.0,0.04044389724731445
29,tune_baseline,vanilla_cma,sphere,10,0.1,28,1000,10,0.0,ok,,1000,100,-0.26072659121878716,1.0,0.0,1.0,0.04005718231201172
30,tune_baseline,vanilla_cma,sphere,10,0.1,29,1000,10,0.0,ok,,1000,100,-0.21852808038290417,1.0,0.0,1.0,0.0376129150390625
31,tune_baseline,vanilla_cma,sphere,10,0.1,30,1000,10,0.0,ok,,1000,100,-0.17035511574731857,1.0,0.0,1.0,0.039784908294677734
32,tune_baseline,vanilla_cma,sphere,10,0.1,31,1000,10,0.0,ok,,1000,100,-0.264911270701322,1.0,0.0,1.0,0.03969883918762207
33,tune_baseline,vanilla_cma,sphere,10,0.1,32,1000,10,0.0,ok,,1000,100,-0.22407904523547217,1.0,0.0,1.0,0.03344392776489258
34,tune_baseline,vanilla_cma,sphere,10,0.1,33,1000,10,0.0,ok,,1000,100,-0.22401654284109285,1.0,0.0,1.0,0.03346419334411621
35,tune_baseline,vanilla_cma,sphere,10,0.1,34,1000,10,0.0,ok,,1000,100,-0.24029335245651037,1.0,0.0,1.0,0.03960704803466797
36,tune_baseline,vanilla_cma,sphere,10,0.1,35,1000,10,0.0,ok,,1000,100,-0.18584516063189965,1.0,0.0,1.0,0.043057918548583984
37,tune_baseline,vanilla_cma,sphere,10,0.1,36,1000,10,0.0,ok,,1000,100,-0.29096828105795863,1.0,0.0,1.0,0.03862190246582031
38,tune_baseline,vanilla_cma,sphere,10,0.1,37,1000,10,0.0,ok,,1000,100,-0.23264779018319895,1.0,0.0,1.0,0.04692578315734863
39,tune_baseline,vanilla_cma,sphere,10,0.1,38,1000,10,0.0,ok,,1000,100,-0.22409626689283324,1.0,0.0,1.0,0.04250693321228027
40,tune_baseline,vanilla_cma,sphere,10,0.1,39,1000,10,0.0,ok,,1000,100,-0.2543085255212678,1.0,0.0,1.0,0.04077410697937012
41,tune_baseline,vanilla_cma,sphere,20,0.1,0,1000,10,0.0,ok,,1000,100,-0.04329223932162676,1.0,0.0,1.0,0.04339909553527832
42,tune_baseline,vanilla_cma,sphere,20,0.1,1,1000,10,0.0,ok,,1000,100,-0.0607897173362405,1.0,0.0,1.0,0.052186012268066406
43,tune_baseline,vanilla_cma,sphere,20,0.1,2,1000,10,0.0,ok,,1000,100,-0.12073453935045494,1.0,0.0,1.0,0.046961069107055664
44,tune_baseline,vanilla_cma,sphere,20,0.1,3,1000,10,0.0,ok,,1000,100,-0.12051734428309,1.0,0.0,1.0,0.06383991241455078
45,tune_baseline,vanilla_cma,sphere,20,0.1,4,1000,10,0.0,ok,,1000,100,-0.14914267630245442,1.0,0.0,1.0,0.044165849685668945
46,tune_baseline,vanilla_cma,sphere,20,0.1,5,1000,10,0.0,ok,,1000,100,-0.06026356984399889,1.0,0.0,1.0,0.04609823226928711
47,tune_baseline,vanilla_cma,sphere,20,0.1,6,1000,10,0.0,ok,,1000,100,-0.19616748376668514,1.0,0.0,1.0,0.05153298377990723
48,tune_baseline,vanilla_cma,sphere,20,0.1,7,1000,10,0.0,ok,,1000,100,-0.14110995088488243,1.0,0.0,1.0,0.03962278366088867
49,tune_baseline,vanilla_cma,sphere,20,0.1,8,1000,10,0.0,ok,,1000,100,-0.06608978300718649,1.0,0.0,1.0,0.03981304168701172
50,tune_baseline,vanilla_cma,sphere,20,0.1,9,1000,10,0.0,ok,,1000,100,-0.15405363466179117,1.0,0.0,1.0,0.05482292175292969
51,tune_baseline,vanilla_cma,sphere,20,0.1,10,1000,10,0.0,ok,,1000,100,-0.20391359949294693,1.0,0.0,1.0,0.04745006561279297
52,tune_baseline,vanilla_cma,sphere,20,0.1,11,1000,10,0.0,ok,,1000,100,-0.04442240721445789,1.0,0.0,1.0,0.04457974433898926
53,tune_baseline,vanilla_cma,sphere,20,0.1,12,1000,10,0.0,ok,,1000,100,-0.11153269874613922,1.0,0.0,1.0,0.04735589027404785
54,tune_baseline,vanilla_cma,sphere,20,0.1,13,1000,10,0.0,ok,,1000,100,-0.07801956256291424,1.0,0.0,1.0,0.04806804656982422
55,tune_baseline,vanilla_cma,sphere,20,0.1,14,1000,10,0.0,ok,,1000,100,-0.06835046993345914,1.0,0.0,1.0,0.04283905029296875
56,tune_baseline,vanilla_cma,sphere,20,0.1,15,1000,10,0.0,ok,,1000,100,-0.02871446435575742,1.0,0.0,1.0,0.051191091537475586
57,tune_baseline,vanilla_cma,sphere,20,0.1,16,1000,10,0.0,ok,,1000,100,-0.144389079269092,1.0,0.0,1.0,0.041140079498291016
58,tune_baseline,vanilla_cma,sphere,20,0.1,17,1000,10,0.0,ok,,1000,100,-0.06361489725168903,1.0,0.0,1.0,0.050453901290893555
59,tune_baseline,vanilla_cma,sphere,20,0.1,18,1000,10,0.0,ok,,1000,100,-0.13937357525068556,1.0,0.0,1.0,0.047576189041137695
60,tune_baseline,vanilla_cma,sphere,20,0.1,19,1000,10,0.0,ok,,1000,100,-0.07598473103019726,1.0,0.0,1.0,0.04815816879272461
61,tune_baseline,vanilla_cma,sphere,20,0.1,20,1000,10,0.0,ok,,1000,100,-0.01904515534762083,1.0,0.0,1.0,0.051096200942993164
62,tune_baseline,vanilla_cma,sphere,20,0.1,21,1000,10,0.0,ok,,1000,100,-0.00756305759201939,1.0,0.0,1.0,0.04868197441101074
63,tune_baseline,vanilla_cma,sphere,20,0.1,22,1000,10,0.0,ok,,1000,100,-0.15624341981565915,1.0,0.0,1.0,0.04315900802612305
64,tune_baseline,vanilla_cma,sphere,20,0.1,23,1000,10,0.0,ok,,1000,100,-0.07030150661961915,1.0,0.0,1.0,0.047216176986694336
65,tune_baseline,vanilla_cma,sphere,20,0.1,24,1000,10,0.0,ok,,1000,100,-0.12664947881718155,1.0,0.0,1.0,0.0520329475402832
66,tune_baseline,vanilla_cma,sphere,20,0.1,25,1000,10,0.0,ok,,1000,100,-0.10007021847357048,1.0,0.0,1.0,0.0444028377532959
67,tune_baseline,vanilla_cma,sphere,20,0.1,26,1000,10,0.0,ok,,1000,100,-0.06209867636360972,1.0,0.0,1.0,0.04560041427612305
68,tune_baseline,vanilla_cma,sphere,20,0.1,27,1000,10,0.0,ok,,1000,100,-0.0526916582051534,1.0,0.0,1.0,0.04617714881896973
69,tune_baseline,vanilla_cma,sphere,20,0.1,28,1000,10,0.0,ok,,1000,100,-0.03609365231585199,1.0,0.0,1.0,0.04232907295227051
70,tune_baseline,vanilla_cma,sphere,20,0.1,29,1000,10,0.0,ok,,1000,100,-0.07617040574019526,1.0,0.0,1.0,0.057669878005981445
71,tune_baseline,vanilla_cma,sphere,20,0.1,30,1000,10,0.0,ok,,1000,100,-0.18012942826321887,1.0,0.0,1.0,0.05305886268615723
72,tune_baseline,vanilla_cma,sphere,20,0.1,31,1000,10,0.0,ok,,1000,100,-0.041508675079582336,1.0,0.0,1.0,0.05830788612365723
73,tune_baseline,vanilla_cma,sphere,20,0.1,32,1000,10,0.0,ok,,1000,100,-0.1455131796205745,1.0,0.0,1.0,0.05367398262023926
74,tune_baseline,vanilla_cma,sphere,20,0.1,33,1000,10,0.0,ok,,1000,100,-0.07385056414345112,1.0,0.0,1.0,0.04296398162841797
75,tune_baseline,vanilla_cma,sphere,20,0.1,34,1000,10,0.0,ok,,1000,100,-0.03259587668875577,1.0,0.0,1.0,0.04441499710083008
76,tune_baseline,vanilla_cma,sphere,20,0.1,35,1000,10,0.0,ok,,1000,100,-0.06534944326915984,1.0,0.0,1.0,0.051373958587646484
77,tune_baseline,vanilla_cma,sphere,20,0.1,36,1000,10,0.0,ok,,1000,100,-0.1930334479300798,1.0,0.0,1.0,0.048027992248535156
78,tune_baseline,vanilla_cma,sphere,20,0.1,37,1000,10,0.0,ok,,1000,100,-0.22410531897811203,1.0,0.0,1.0,0.03934001922607422
79,tune_baseline,vanilla_cma,sphere,20,0.1,38,1000,10,0.0,ok,,1000,100,-0.051593449059747,1.0,0.0,1.0,0.04499506950378418
80,tune_baseline,vanilla_cma,sphere,20,0.1,39,1000,10,0.0,ok,,1000,100,-0.12295429252320407,1.0,0.0,1.0,0.04131197929382324
