method,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
lr_adapt_proxy,36,-18.872088786790762,0.505,0.495,0.5833333333333334,34,1.9198452288232053e-17
phasewall_plus_lr_tuned,36,-18.836873235099056,0.5077777777777777,0.4922222222222223,0.5833333333333334,33,1.9198452288232053e-17
phasewall_tuned,36,-0.07836899373774198,0.5061111111111111,0.4938888888888888,0.5833333333333334,2,0.0005745818520207175
pop4x,36,58.69544875079048,0.07972222222222222,0.9202777777777779,0.0,36,1.9198452288232053e-17
