dimension,n_cells,median_of_cell_median_delta,mean_win_rate,cells_q_lt_0_05
10,12,-1.659980919799537,0.3775,12
20,12,-15.492064825446974,0.5183333333333333,12
40,12,-55.55732862291053,0.6191666666666666,10
