run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
1,tune_baseline,vanilla_cma,sphere,10,0.1,0,1000,10,0.0,ok,,1000,100,-0.27276754840448814,1.0,0.0,1.0,0.04172801971435547
2,tune_baseline,vanilla_cma,sphere,10,0.1,1,1000,10,0.0,ok,,1000,100,-0.23752646858611762,1.0,0.0,1.0,0.042572975158691406
3,tune_baseline,vanilla_cma,sphere,10,0.1,2,1000,10,0.0,ok,,1000,100,-0.1916961265116106,1.0,0.0,1.0,0.0478208065032959
4,tune_baseline,vanilla_cma,sphere,10,0.1,3,1000,10,0.0,ok,,1000,100,-0.23184667826279626,1.0,0.0,1.0,0.045171260833740234
5,tune_baseline,vanilla_cma,sphere,10,0.1,4,1000,10,0.0,ok,,1000,100,-0.33216956313592866,1.0,0.0,1.0,0.0459597110748291
6,tune_baseline,vanilla_cma,sphere,10,0.1,5,1000,10,0.0,ok,,1000,100,-0.21023328188651183,1.0,0.0,1.0,0.039628028869628906
7,tune_baseline,vanilla_cma,sphere,10,0.1,6,1000,10,0.0,ok,,1000,100,-0.24782816983929373,1.0,0.0,1.0,0.03779101371765137
8,tune_baseline,vanilla_cma,sphere,10,0.1,7,1000,10,0.0,ok,,1000,100,-0.2201762508623548,1.0,0.0,1.0,0.039772987365722656
9,tune_baseline,vanilla_cma,sphere,10,0.1,8,1000,10,0.0,ok,,1000,100,-0.17958076471651815,1.0,0.0,1.0,0.0429689884185791
10,tune_baseline,vanilla_cma,sphere,10,0.1,9,1000,10,0.0,ok,,1000,100,-0.24573658149950597,1.0,0.0,1.0,0.039556264877319336
11,tune_baseline,vanilla_cma,sphere,10,0.1,10,1000,10,0.0,ok,,1000,100,-0.22834278513976225,1.0,0.0,1.0,0.050160884857177734
12,tune_baseline,vanilla_cma,sphere,10,0.1,11,1000,10,0.0,ok,,1000,100,-0.21710960780063288,1.0,0.0,1.0,0.03677105903625488
13,tune_baseline,vanilla_cma,sphere,10,0.1,12,1000,10,0.0,ok,,1000,100,-0.22018448064087304,1.0,0.0,1.0,0.04131197929382324
14,tune_baseline,vanilla_cma,sphere,10,0.1,13,1000,10,0.0,ok,,1000,100,-0.18083610844454456,1.0,0.0,1.0,0.03425097465515137
15,tune_baseline,vanilla_cma,sphere,10,0.1,14,1000,10,0.0,ok,,1000,100,-0.15305500236046943,1.0,0.0,1.0,0.04384112358093262
16,tune_baseline,vanilla_cma,sphere,10,0.1,15,1000,10,0.0,ok,,1000,100,-0.19417254088105373,1.0,0.0,1.0,0.039916038513183594
17,tune_baseline,vanilla_cma,sphere,10,0.1,16,1000,10,0.0,ok,,1000,100,-0.26969855903273576,1.0,0.0,1.0,0.04432272911071777
18,tune_baseline,vanilla_cma,sphere,10,0.1,17,1000,10,0.0,ok,,1000,100,-0.23802878122544668,1.0,0.0,1.0,0.043714046478271484
19,tune_baseline,vanilla_cma,sphere,10,0.1,18,1000,10,0.0,ok,,1000,100,-0.26366864885838226,1.0,0.0,1.0,0.04083991050720215
20,tune_baseline,vanilla_cma,sphere,10,0.1,19,1000,10,0.0,ok,,1000,100,-0.26249803575405145,1.0,0.0,1.0,0.033354997634887695
21,tune_baseline,vanilla_cma,sphere,10,0.1,20,1000,10,0.0,ok,,1000,100,-0.23551811541767737,1.0,0.0,1.0,0.03324389457702637
22,tune_baseline,vanilla_cma,sphere,10,0.1,21,1000,10,0.0,ok,,1000,100,-0.2688024470737184,1.0,0.0,1.0,0.03388214111328125
23,tune_baseline,vanilla_cma,sphere,10,0.1,22,1000,10,0.0,ok,,1000,100,-0.19838803470777672,1.0,0.0,1.0,0.03298783302307129
24,tune_baseline,vanilla_cma,sphere,10,0.1,23,1000,10,0.0,ok,,1000,100,-0.2020136517006213,1.0,0.0,1.0,0.040860891342163086
25,tune_baseline,vanilla_cma,sphere,10,0.1,24,1000,10,0.0,ok,,1000,100,-0.24552746516570118,1.0,0.0,1.0,0.04007601737976074
26,tune_baseline,vanilla_cma,sphere,10,0.1,25,1000,10,0.0,ok,,1000,100,-0.20130085136525686,1.0,0.0,1.0,0.04247903823852539
27,tune_baseline,vanilla_cma,sphere,10,0.1,26,1000,10,0.0,ok,,1000,100,-0.1463439308358501,1.0,0.0,1.0,0.03570389747619629
28,tune_baseline,vanilla_cma,sphere,10,0.1,27,1000,10,0.0,ok,,1000,100,-0.24057170230139535,1.0,0.0,1.0,0.03302621841430664
29,tune_baseline,vanilla_cma,sphere,10,0.1,28,1000,10,0.0,ok,,1000,100,-0.26072659121878716,1.0,0.0,1.0,0.037863969802856445
30,tune_baseline,vanilla_cma,sphere,10,0.1,29,1000,10,0.0,ok,,1000,100,-0.21852808038290417,1.0,0.0,1.0,0.03584790229797363
31,tune_baseline,vanilla_cma,sphere,10,0.1,30,1000,10,0.0,ok,,1000,100,-0.17035511574731857,1.0,0.0,1.0,0.03346109390258789
32,tune_baseline,vanilla_cma,sphere,10,0.1,31,1000,10,0.0,ok,,1000,100,-0.264911270701322,1.0,0.0,1.0,0.038309335708618164
33,tune_baseline,vanilla_cma,sphere,10,0.1,32,1000,10,0.0,ok,,1000,100,-0.22407904523547217,1.0,0.0,1.0,0.03373599052429199
34,tune_baseline,vanilla_cma,sphere,10,0.1,33,1000,10,0.0,ok,,1000,100,-0.22401654284109285,1.0,0.0,1.0,0.03341984748840332
35,tune_baseline,vanilla_cma,sphere,10,0.1,34,1000,10,0.0,ok,,1000,100,-0.24029335245651037,1.0,0.0,1.0,0.0369715690612793
36,tune_baseline,vanilla_cma,sphere,10,0.1,35,1000,10,0.0,ok,,1000,100,-0.18584516063189965,1.0,0.0,1.0,0.03340601921081543
37,tune_baseline,vanilla_cma,sphere,10,0.1,36,1000,10,0.0,ok,,1000,100,-0.29096828105795863,1.0,0.0,1.0,0.033457040786743164
38,tune_baseline,vanilla_cma,sphere,10,0.1,37,1000,10,0.0,ok,,1000,100,-0.23264779018319895,1.0,0.0,1.0,0.0363459587097168
39,tune_baseline,vanilla_cma,sphere,10,0.1,38,1000,10,0.0,ok,,1000,100,-0.22409626689283324,1.0,0.0,1.0,0.036737680435180664
40,tune_baseline,vanilla_cma,sphere,10,0.1,39,1000,10,0.0,ok,,1000,100,-0.2543085255212678,1.0,0.0,1.0,0.03811001777648926
41,tune_baseline,vanilla_cma,sphere,20,0.1,0,1000,10,0.0,ok,,1000,100,-0.02327148718365707,1.0,0.0,1.0,0.03949165344238281
42,tune_baseline,vanilla_cma,sphere,20,0.1,1,1000,10,0.0,ok,,1000,100,-0.0607897173362405,1.0,0.0,1.0,0.03951096534729004
43,tune_baseline,vanilla_cma,sphere,20,0.1,2,1000,10,0.0,ok,,1000,100,-0.12073453935045494,1.0,0.0,1.0,0.03956294059753418
44,tune_baseline,vanilla_cma,sphere,20,0.1,3,1000,10,0.0,ok,,1000,100,-0.12051734428309,1.0,0.0,1.0,0.04352521896362305
45,tune_baseline,vanilla_cma,sphere,20,0.1,4,1000,10,0.0,ok,,1000,100,-0.14914267630245442,1.0,0.0,1.0,0.03969407081604004
46,tune_baseline,vanilla_cma,sphere,20,0.1,5,1000,10,0.0,ok,,1000,100,-0.06026356984399889,1.0,0.0,1.0,0.04370307922363281
47,tune_baseline,vanilla_cma,sphere,20,0.1,6,1000,10,0.0,ok,,1000,100,-0.19616748376668514,1.0,0.0,1.0,0.04289102554321289
48,tune_baseline,vanilla_cma,sphere,20,0.1,7,1000,10,0.0,ok,,1000,100,-0.14110995088488243,1.0,0.0,1.0,0.04292464256286621
49,tune_baseline,vanilla_cma,sphere,20,0.1,8,1000,10,0.0,ok,,1000,100,-0.06608978300718649,1.0,0.0,1.0,0.03953099250793457
50,tune_baseline,vanilla_cma,sphere,20,0.1,9,1000,10,0.0,ok,,1000,100,-0.15405363466179117,1.0,0.0,1.0,0.03963804244995117
