function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,64.56742034437076,28.174663946019255,0.24,0.76,2.172993678852733e-05,1.9944335686802714,3.401207497334713e-05,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,520.5422275367914,-62.47905884580223,0.58,0.42,0.05591357897020115,0.8838543367671713,0.05591357897020115,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,520.4781762078961,-67.62009211594906,0.59,0.41,0.03719430432353409,0.8556943825954851,0.03825699873277792,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,515.8980335901931,-64.83059169289834,0.59,0.41,0.02801404950478365,0.889528555877927,0.029661934769770925,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.01830198436954239,0.01829428474295114,0.0,1.0,3.89655984509591e-18,1729.4580575398097,2.1941088329408057e-17,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.1,lr_adapt_proxy,100,-0.21794884339332712,-0.16840390628863625,0.05706080136962326,0.06,0.94,9.815788244911682e-17,0.7726763017719791,3.926315297964673e-16,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,10,0.2,lr_adapt_proxy,100,-0.4586406283900504,-0.3831782618591294,0.07004816364069688,0.22,0.78,5.311468043336473e-10,0.8354651510141746,1.006383418737437e-09,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.0,lr_adapt_proxy,100,0.012083707862821896,0.29118055773923573,0.2788117941284454,0.0,1.0,3.89655984509591e-18,24.096954431935153,2.1941088329408057e-17,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.1,lr_adapt_proxy,100,-0.09197217458066785,0.2340954694339728,0.3169620104504939,0.01,0.99,4.0161556854627e-18,-2.545285794331742,2.1941088329408057e-17,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,20,0.2,lr_adapt_proxy,100,-0.23843736043551503,0.09599798114854946,0.314051758734625,0.01,0.99,4.0161556854627e-18,-0.4026130006354937,2.1941088329408057e-17,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.0,lr_adapt_proxy,100,1.6171826672837812,2.749465924587623,1.1681417571731654,0.15,0.85,3.116882971760749e-13,1.7001579229176529,6.600458057846292e-13,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.1,lr_adapt_proxy,100,1.5099065684665791,2.6756925362435284,1.1289715889764123,0.09,0.91,1.6769992593993554e-15,1.7720914605735443,5.488361212579708e-15,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
sphere,40,0.2,lr_adapt_proxy,100,1.6930524834295937,2.72429837114643,1.0112006513862672,0.13,0.87,3.116882971760749e-13,1.6091045007818396,6.600458057846292e-13,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,658.9459919537525,-351.5511389671043,0.66,0.34,0.00021013147514216082,0.6077774578208996,0.0003438515047780813,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,676.4054038612448,-351.5240809002831,0.67,0.33,0.0002713849663803473,0.6239092250530462,0.0004013658188544038,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,697.3176715530989,-377.64774148094455,0.64,0.36,0.00026778265635249015,0.6429414912229109,0.0004013658188544038,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,26244.741638861182,-40836.71901068367,0.91,0.09,1.103745435518733e-15,0.3671807461820238,2.8382025484767417e-15,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,25684.00789366956,-40836.82046729532,0.91,0.09,1.0732910429952938e-15,0.3593360931850158,2.8382025484767417e-15,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,25684.039507715657,-40836.72220911246,0.91,0.09,1.0732910429952938e-15,0.35933558803815635,2.8382025484767417e-15,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,265010.51948759914,-620722.9963554435,0.99,0.01,4.0161556854627e-18,0.271894653669224,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,265010.5051149149,-620723.0861733969,0.99,0.01,4.0161556854627e-18,0.27189463473709236,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
