variant_id,variant_group,function,dimension,noise_sigma,baseline_delta,variant_delta,delta_change_vs_baseline,is_p1_target,is_p2_check,p1_improved,p2_less_negative
geom_k090_r010,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-37674.6447805527,0.0,False,False,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-37674.74856099834,0.0,False,False,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-37674.65207957549,0.0,False,False,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-620317.3470573493,0.0,False,True,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-620317.4553029037,0.0,False,True,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-620317.0468367639,0.0,False,True,False,False
geom_k090_r010,geometry,rastrigin,10,0.0,-6.481236128559136,-6.481236128559136,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,10,0.1,-3.3382561243420232,-3.3382561243420232,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,10,0.2,-5.069016704637309,-5.069016704637309,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,20,0.0,-38.84128583220361,-38.84128583220361,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,20,0.1,-35.1046767249787,-35.1046767249787,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,20,0.2,-31.2629414450224,-31.2629414450224,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,40,0.0,-48.63559840001883,-48.63559840001883,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,40,0.1,-33.246049739603365,-33.246049739603365,0.0,False,False,False,False
geom_k090_r010,geometry,rastrigin,40,0.2,-36.96853760624393,-36.96853760624393,0.0,False,False,False,False
geom_k090_r010,geometry,rosenbrock,10,0.0,2.1667428996053584,2.1667428996053584,0.0,True,False,False,False
geom_k090_r010,geometry,rosenbrock,10,0.1,2.0156707156372624,2.0156707156372624,0.0,True,False,False,False
geom_k090_r010,geometry,rosenbrock,10,0.2,1.9687512311536377,1.9687512311536377,0.0,True,False,False,False
geom_k090_r010,geometry,rosenbrock,20,0.0,28.988317206678627,28.988317206678627,0.0,True,False,False,False
geom_k090_r010,geometry,rosenbrock,20,0.1,27.940058249224585,27.940058249224585,0.0,True,False,False,False
geom_k090_r010,geometry,rosenbrock,20,0.2,28.174663946019255,28.174663946019255,0.0,True,False,False,False
geom_k090_r010,geometry,rosenbrock,40,0.0,-62.47905884580223,-62.47905884580223,0.0,False,False,False,False
geom_k090_r010,geometry,rosenbrock,40,0.1,-67.62009211594906,-67.62009211594906,0.0,False,False,False,False
geom_k090_r010,geometry,rosenbrock,40,0.2,-64.83059169289834,-64.83059169289834,0.0,False,False,False,False
geom_k090_r010,geometry,sphere,10,0.0,0.0182942847429511,0.0182942847429511,0.0,True,False,False,False
geom_k090_r010,geometry,sphere,10,0.1,0.0570608013696232,0.0570608013696232,0.0,True,False,False,False
geom_k090_r010,geometry,sphere,10,0.2,0.0700481636406968,0.0700481636406968,0.0,True,False,False,False
geom_k090_r010,geometry,sphere,20,0.0,0.2788117941284454,0.2788117941284454,0.0,True,False,False,False
geom_k090_r010,geometry,sphere,20,0.1,0.3169620104504939,0.3169620104504939,0.0,True,False,False,False
geom_k090_r010,geometry,sphere,20,0.2,0.314051758734625,0.314051758734625,0.0,True,False,False,False
geom_k090_r010,geometry,sphere,40,0.0,1.1681417571731654,1.1681417571731654,0.0,False,False,False,False
geom_k090_r010,geometry,sphere,40,0.1,1.1289715889764125,1.1289715889764125,0.0,False,False,False,False
geom_k090_r010,geometry,sphere,40,0.2,1.0112006513862672,1.0112006513862672,0.0,False,False,False,False
geom_k090_r020,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,108.06419137031554,291.198838686018,False,False,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,113.721988118242,410.34464072011656,False,False,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,108.35977670431714,273.4198076986801,False,False,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-23120.08022127459,14554.564559278107,False,False,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-23120.02457600978,14554.723984988563,False,False,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-23120.14350099941,14554.508578576082,False,False,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-488005.03618959256,132312.31086775672,False,True,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-488005.0553517428,132312.39995116089,False,True,False,True
geom_k090_r020,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-488005.0126153204,132312.03422144346,False,True,False,True
geom_k090_r020,geometry,rastrigin,10,0.0,-6.481236128559136,9.417866296691614,15.89910242525075,False,False,False,True
geom_k090_r020,geometry,rastrigin,10,0.1,-3.3382561243420232,11.925380267151032,15.263636391493055,False,False,False,True
geom_k090_r020,geometry,rastrigin,10,0.2,-5.069016704637309,15.316998489410713,20.38601519404802,False,False,False,True
geom_k090_r020,geometry,rastrigin,20,0.0,-38.84128583220361,0.6582244572128957,39.499510289416506,False,False,False,True
geom_k090_r020,geometry,rastrigin,20,0.1,-35.1046767249787,4.5972471222791995,39.7019238472579,False,False,False,True
geom_k090_r020,geometry,rastrigin,20,0.2,-31.2629414450224,5.385314995651115,36.648256440673514,False,False,False,True
geom_k090_r020,geometry,rastrigin,40,0.0,-48.63559840001883,9.504361647362316,58.139960047381145,False,False,False,True
geom_k090_r020,geometry,rastrigin,40,0.1,-33.246049739603365,9.78345326996245,43.029503009565815,False,False,False,True
geom_k090_r020,geometry,rastrigin,40,0.2,-36.96853760624393,6.2270720503221355,43.19560965656606,False,False,False,True
geom_k090_r020,geometry,rosenbrock,10,0.0,2.1667428996053584,7.881850709206218,5.71510780960086,True,False,False,True
geom_k090_r020,geometry,rosenbrock,10,0.1,2.0156707156372624,7.091371620211165,5.075700904573902,True,False,False,True
geom_k090_r020,geometry,rosenbrock,10,0.2,1.9687512311536377,8.025485170932791,6.0567339397791535,True,False,False,True
geom_k090_r020,geometry,rosenbrock,20,0.0,28.988317206678627,128.54806022691687,99.55974302023824,True,False,False,True
geom_k090_r020,geometry,rosenbrock,20,0.1,27.940058249224585,119.5085168511367,91.56845860191211,True,False,False,True
geom_k090_r020,geometry,rosenbrock,20,0.2,28.174663946019255,121.97273966648112,93.79807572046187,True,False,False,True
geom_k090_r020,geometry,rosenbrock,40,0.0,-62.47905884580223,502.14925619599205,564.6283150417943,False,False,False,True
geom_k090_r020,geometry,rosenbrock,40,0.1,-67.62009211594906,528.2527939595204,595.8728860754695,False,False,False,True
geom_k090_r020,geometry,rosenbrock,40,0.2,-64.83059169289834,535.9444487594967,600.775040452395,False,False,False,True
geom_k090_r020,geometry,sphere,10,0.0,0.0182942847429511,0.075165764037279,0.0568714792943279,True,False,False,True
geom_k090_r020,geometry,sphere,10,0.1,0.0570608013696232,0.1775660064450427,0.1205052050754195,True,False,False,True
geom_k090_r020,geometry,sphere,10,0.2,0.0700481636406968,0.2009344561410677,0.1308862925003709,True,False,False,True
geom_k090_r020,geometry,sphere,20,0.0,0.2788117941284454,1.091487685967428,0.8126758918389827,True,False,False,True
geom_k090_r020,geometry,sphere,20,0.1,0.3169620104504939,1.1859540168246328,0.8689920063741389,True,False,False,True
geom_k090_r020,geometry,sphere,20,0.2,0.314051758734625,1.2556736187774549,0.9416218600428299,True,False,False,True
geom_k090_r020,geometry,sphere,40,0.0,1.1681417571731654,4.484782268071934,3.316640510898768,False,False,False,True
geom_k090_r020,geometry,sphere,40,0.1,1.1289715889764125,4.442941982512584,3.313970393536172,False,False,False,True
geom_k090_r020,geometry,sphere,40,0.2,1.0112006513862672,4.206320203504017,3.19511955211775,False,False,False,True
geom_k093_r005,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,-270.5985953302884,-87.4639480145859,False,False,True,False
geom_k093_r005,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,-270.6349229786036,25.98772962327098,False,False,False,True
geom_k093_r005,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,-282.37826732943654,-117.3182363350736,False,False,True,False
geom_k093_r005,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-34461.195770661834,3213.4490098908645,False,False,False,True
geom_k093_r005,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-34461.3056860348,3213.442874963541,False,False,False,True
geom_k093_r005,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-34461.275715779986,3213.3763637955053,False,False,False,True
geom_k093_r005,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-623116.489045829,-2799.141988479765,False,True,True,False
geom_k093_r005,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-623116.5843970353,-2799.12909413164,False,True,True,False
geom_k093_r005,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-623116.2948183543,-2799.2479815904517,False,True,True,False
geom_k093_r005,geometry,rastrigin,10,0.0,-6.481236128559136,-13.337009803068815,-6.855773674509679,False,False,True,False
geom_k093_r005,geometry,rastrigin,10,0.1,-3.3382561243420232,-7.711244514405662,-4.372988390063639,False,False,True,False
geom_k093_r005,geometry,rastrigin,10,0.2,-5.069016704637309,-9.426381830127816,-4.3573651254905075,False,False,True,False
geom_k093_r005,geometry,rastrigin,20,0.0,-38.84128583220361,-79.29179669410021,-40.4505108618966,False,False,True,False
geom_k093_r005,geometry,rastrigin,20,0.1,-35.1046767249787,-80.67027917905997,-45.56560245408127,False,False,True,False
geom_k093_r005,geometry,rastrigin,20,0.2,-31.2629414450224,-75.34507407321061,-44.08213262818821,False,False,True,False
geom_k093_r005,geometry,rastrigin,40,0.0,-48.63559840001883,-154.3514209252537,-105.71582252523487,False,False,True,False
geom_k093_r005,geometry,rastrigin,40,0.1,-33.246049739603365,-156.37034088462207,-123.1242911450187,False,False,True,False
geom_k093_r005,geometry,rastrigin,40,0.2,-36.96853760624393,-154.9852628193509,-118.01672521310698,False,False,True,False
geom_k093_r005,geometry,rosenbrock,10,0.0,2.1667428996053584,0.0842866860536499,-2.0824562135517084,True,False,True,False
geom_k093_r005,geometry,rosenbrock,10,0.1,2.0156707156372624,0.4984106835856217,-1.5172600320516407,True,False,True,False
geom_k093_r005,geometry,rosenbrock,10,0.2,1.9687512311536377,0.2259268869010187,-1.742824344252619,True,False,True,False
geom_k093_r005,geometry,rosenbrock,20,0.0,28.988317206678627,6.168663896396719,-22.819653310281907,True,False,True,False
geom_k093_r005,geometry,rosenbrock,20,0.1,27.940058249224585,4.842069219804683,-23.0979890294199,True,False,True,False
geom_k093_r005,geometry,rosenbrock,20,0.2,28.174663946019255,3.7452983731182847,-24.42936557290097,True,False,True,False
geom_k093_r005,geometry,rosenbrock,40,0.0,-62.47905884580223,-102.71162104022474,-40.23256219442251,False,False,True,False
geom_k093_r005,geometry,rosenbrock,40,0.1,-67.62009211594906,-103.49762574510626,-35.8775336291572,False,False,True,False
geom_k093_r005,geometry,rosenbrock,40,0.2,-64.83059169289834,-120.58995027523358,-55.75935858233524,False,False,True,False
geom_k093_r005,geometry,sphere,10,0.0,0.0182942847429511,0.004857850924362,-0.0134364338185891,True,False,True,False
geom_k093_r005,geometry,sphere,10,0.1,0.0570608013696232,0.0094766503053133,-0.0475841510643099,True,False,True,False
geom_k093_r005,geometry,sphere,10,0.2,0.0700481636406968,0.0070739287069264,-0.0629742349337704,True,False,True,False
geom_k093_r005,geometry,sphere,20,0.0,0.2788117941284454,0.0662713222073847,-0.21254047192106074,True,False,True,False
geom_k093_r005,geometry,sphere,20,0.1,0.3169620104504939,0.0623937910723519,-0.254568219378142,True,False,True,False
geom_k093_r005,geometry,sphere,20,0.2,0.314051758734625,0.027091055238211,-0.286960703496414,True,False,True,False
geom_k093_r005,geometry,sphere,40,0.0,1.1681417571731654,1.261760472299633,0.09361871512646758,False,False,False,True
geom_k093_r005,geometry,sphere,40,0.1,1.1289715889764125,1.3553527357695774,0.2263811467931649,False,False,False,True
geom_k093_r005,geometry,sphere,40,0.2,1.0112006513862672,1.264046632721696,0.2528459813354287,False,False,False,True
geom_k093_r010,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,-219.63372181119016,-36.49907449548766,False,False,True,False
geom_k093_r010,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,-239.08182830010415,57.540824301770414,False,False,False,True
geom_k093_r010,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,-217.08870584057013,-52.028674846207196,False,False,True,False
geom_k093_r010,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-30809.323341501233,6865.321439051466,False,False,False,True
geom_k093_r010,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-30809.301465371303,6865.447095627038,False,False,False,True
geom_k093_r010,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-30809.273079093928,6865.379000481564,False,False,False,True
geom_k093_r010,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-622778.3902891171,-2461.043231767835,False,True,True,False
geom_k093_r010,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-622778.3356782948,-2460.880375391105,False,True,True,False
geom_k093_r010,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-622778.1779374823,-2461.1311007183976,False,True,True,False
geom_k093_r010,geometry,rastrigin,10,0.0,-6.481236128559136,-7.951392780408817,-1.4701566518496811,False,False,True,False
geom_k093_r010,geometry,rastrigin,10,0.1,-3.3382561243420232,-3.2256251752902045,0.1126309490518187,False,False,False,True
geom_k093_r010,geometry,rastrigin,10,0.2,-5.069016704637309,-5.232534986626947,-0.1635182819896377,False,False,True,False
geom_k093_r010,geometry,rastrigin,20,0.0,-38.84128583220361,-41.024444793813785,-2.183158961610175,False,False,True,False
geom_k093_r010,geometry,rastrigin,20,0.1,-35.1046767249787,-40.98849415628672,-5.883817431308017,False,False,True,False
geom_k093_r010,geometry,rastrigin,20,0.2,-31.2629414450224,-38.08633463589918,-6.823393190876779,False,False,True,False
geom_k093_r010,geometry,rastrigin,40,0.0,-48.63559840001883,-47.83583756435843,0.7997608356604005,False,False,False,True
geom_k093_r010,geometry,rastrigin,40,0.1,-33.246049739603365,-46.228184905038034,-12.98213516543467,False,False,True,False
geom_k093_r010,geometry,rastrigin,40,0.2,-36.96853760624393,-47.77642650741555,-10.807888901171623,False,False,True,False
geom_k093_r010,geometry,rosenbrock,10,0.0,2.1667428996053584,2.3621329071841597,0.19539000757880132,True,False,False,True
geom_k093_r010,geometry,rosenbrock,10,0.1,2.0156707156372624,2.08664688378308,0.07097616814581764,True,False,False,True
geom_k093_r010,geometry,rosenbrock,10,0.2,1.9687512311536377,2.253230965713178,0.28447973455954045,True,False,False,True
geom_k093_r010,geometry,rosenbrock,20,0.0,28.988317206678627,28.837565408343792,-0.15075179833483432,True,False,True,False
geom_k093_r010,geometry,rosenbrock,20,0.1,27.940058249224585,26.320005935718477,-1.6200523135061076,True,False,True,False
geom_k093_r010,geometry,rosenbrock,20,0.2,28.174663946019255,26.081091059074716,-2.093572886944539,True,False,True,False
geom_k093_r010,geometry,rosenbrock,40,0.0,-62.47905884580223,-50.670736220750285,11.808322625051943,False,False,False,True
geom_k093_r010,geometry,rosenbrock,40,0.1,-67.62009211594906,-50.856733394055766,16.763358721893297,False,False,False,True
geom_k093_r010,geometry,rosenbrock,40,0.2,-64.83059169289834,-55.18335611150681,9.647235581391527,False,False,False,True
geom_k093_r010,geometry,sphere,10,0.0,0.0182942847429511,0.0191970272769199,0.0009027425339687978,True,False,False,True
geom_k093_r010,geometry,sphere,10,0.1,0.0570608013696232,0.0613231053735988,0.004262304003975599,True,False,False,True
geom_k093_r010,geometry,sphere,10,0.2,0.0700481636406968,0.06607681612765,-0.0039713475130467996,True,False,True,False
geom_k093_r010,geometry,sphere,20,0.0,0.2788117941284454,0.2756429121792111,-0.0031688819492343145,True,False,True,False
geom_k093_r010,geometry,sphere,20,0.1,0.3169620104504939,0.3121814485423618,-0.004780561908132086,True,False,True,False
geom_k093_r010,geometry,sphere,20,0.2,0.314051758734625,0.2890043253086709,-0.025047433425954113,True,False,True,False
geom_k093_r010,geometry,sphere,40,0.0,1.1681417571731654,1.2809037738382232,0.11276201666505781,False,False,False,True
geom_k093_r010,geometry,sphere,40,0.1,1.1289715889764125,1.4004222103794728,0.2714506214030603,False,False,False,True
geom_k093_r010,geometry,sphere,40,0.2,1.0112006513862672,1.2650130616499091,0.2538124102636419,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,285.8222857187259,468.9569330344284,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,285.83265311854205,582.4553057204166,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,268.6225011372998,433.68253213166275,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-19265.034722386463,18409.610058166236,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-19265.056202369185,18409.692358629156,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-19264.863504747584,18409.788574827908,False,False,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-487406.1968369023,132911.150220447,False,True,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-487406.2100443245,132911.24525857915,False,True,False,True
geom_k093_r020,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-487406.2176774763,132910.82915928756,False,True,False,True
geom_k093_r020,geometry,rastrigin,10,0.0,-6.481236128559136,9.381846429172905,15.86308255773204,False,False,False,True
geom_k093_r020,geometry,rastrigin,10,0.1,-3.3382561243420232,13.753975531914906,17.092231656256928,False,False,False,True
geom_k093_r020,geometry,rastrigin,10,0.2,-5.069016704637309,11.718810709969173,16.787827414606483,False,False,False,True
geom_k093_r020,geometry,rastrigin,20,0.0,-38.84128583220361,0.3520936366909097,39.19337946889452,False,False,False,True
geom_k093_r020,geometry,rastrigin,20,0.1,-35.1046767249787,3.70370717367355,38.80838389865225,False,False,False,True
geom_k093_r020,geometry,rastrigin,20,0.2,-31.2629414450224,3.617576372463603,34.880517817486,False,False,False,True
geom_k093_r020,geometry,rastrigin,40,0.0,-48.63559840001883,6.387508515200864,55.02310691521969,False,False,False,True
geom_k093_r020,geometry,rastrigin,40,0.1,-33.246049739603365,1.956131862965151,35.202181602568515,False,False,False,True
geom_k093_r020,geometry,rastrigin,40,0.2,-36.96853760624393,2.374856907817332,39.34339451406126,False,False,False,True
geom_k093_r020,geometry,rosenbrock,10,0.0,2.1667428996053584,7.330337881375994,5.163594981770635,True,False,False,True
geom_k093_r020,geometry,rosenbrock,10,0.1,2.0156707156372624,7.420863121897213,5.405192406259951,True,False,False,True
geom_k093_r020,geometry,rosenbrock,10,0.2,1.9687512311536377,7.315515238573321,5.346764007419683,True,False,False,True
geom_k093_r020,geometry,rosenbrock,20,0.0,28.988317206678627,126.43694648048957,97.44862927381094,True,False,False,True
geom_k093_r020,geometry,rosenbrock,20,0.1,27.940058249224585,126.82065406900443,98.88059581977984,True,False,False,True
geom_k093_r020,geometry,rosenbrock,20,0.2,28.174663946019255,129.7869000846569,101.61223613863766,True,False,False,True
geom_k093_r020,geometry,rosenbrock,40,0.0,-62.47905884580223,461.0454867112109,523.5245455570132,False,False,False,True
geom_k093_r020,geometry,rosenbrock,40,0.1,-67.62009211594906,456.2442327485698,523.8643248645188,False,False,False,True
geom_k093_r020,geometry,rosenbrock,40,0.2,-64.83059169289834,472.2144581757784,537.0450498686768,False,False,False,True
geom_k093_r020,geometry,sphere,10,0.0,0.0182942847429511,0.0750015017276356,0.056707216984684505,True,False,False,True
geom_k093_r020,geometry,sphere,10,0.1,0.0570608013696232,0.1825280443030647,0.12546724293344153,True,False,False,True
geom_k093_r020,geometry,sphere,10,0.2,0.0700481636406968,0.2128326363447334,0.1427844727040366,True,False,False,True
geom_k093_r020,geometry,sphere,20,0.0,0.2788117941284454,1.102186825049294,0.8233750309208487,True,False,False,True
geom_k093_r020,geometry,sphere,20,0.1,0.3169620104504939,1.226483733993165,0.909521723542671,True,False,False,True
geom_k093_r020,geometry,sphere,20,0.2,0.314051758734625,1.311804301285804,0.9977525425511791,True,False,False,True
geom_k093_r020,geometry,sphere,40,0.0,1.1681417571731654,4.457617679874716,3.28947592270155,False,False,False,True
geom_k093_r020,geometry,sphere,40,0.1,1.1289715889764125,4.5422996375170905,3.413328048540678,False,False,False,True
geom_k093_r020,geometry,sphere,40,0.2,1.0112006513862672,4.246586973770455,3.235386322384188,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,-86.24320830138683,96.89143901431567,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,-70.39398136520953,226.22867123666504,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,-91.25336923053749,73.80666176382545,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-32635.930282333386,5038.714498219313,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-32636.070775847165,5038.677785151176,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-32636.22252450257,5038.429555072922,False,False,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-601254.5935904951,19062.75346685422,False,True,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-601254.6754372928,19062.77986561088,False,True,False,True
geom_k095_r005,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-601254.5256563474,19062.521180416457,False,True,False,True
geom_k095_r005,geometry,rastrigin,10,0.0,-6.481236128559136,-14.077773659690756,-7.59653753113162,False,False,True,False
geom_k095_r005,geometry,rastrigin,10,0.1,-3.3382561243420232,-10.796232961390697,-7.457976837048673,False,False,True,False
geom_k095_r005,geometry,rastrigin,10,0.2,-5.069016704637309,-10.277651417615926,-5.2086347129786175,False,False,True,False
geom_k095_r005,geometry,rastrigin,20,0.0,-38.84128583220361,-82.6284619920144,-43.787176159810784,False,False,True,False
