variant_id,variant_group,function,dimension,noise_sigma,baseline_delta,variant_delta,delta_change_vs_baseline,is_p1_target,is_p2_check,p1_improved,p2_less_negative
geom_k090_r005,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,-351.5511389671043,-168.4164916514018,False,False,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,-351.5240809002831,-54.90142829840852,False,False,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,-377.64774148094455,-212.5877104865816,False,False,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,20,0.0,-37674.6447805527,-40836.71901068367,-3162.074230130973,False,False,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,20,0.1,-37674.74856099834,-40836.82046729532,-3162.07190629698,False,False,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,20,0.2,-37674.65207957549,-40836.72220911246,-3162.0701295369654,False,False,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,40,0.0,-620317.3470573493,-620722.9963554435,-405.649298094213,False,True,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,40,0.1,-620317.4553029037,-620723.0861733969,-405.6308704932453,False,True,True,False
geom_k090_r005,geometry,ellipsoid_cond1e6,40,0.2,-620317.0468367639,-620722.983376712,-405.936539948103,False,True,True,False
geom_k090_r005,geometry,rastrigin,10,0.0,-6.481236128559136,-10.238330294255448,-3.757094165696312,False,False,True,False
geom_k090_r005,geometry,rastrigin,10,0.1,-3.3382561243420232,-7.803311664806655,-4.465055540464632,False,False,True,False
geom_k090_r005,geometry,rastrigin,10,0.2,-5.069016704637309,-9.463769112596308,-4.3947524079589995,False,False,True,False
geom_k090_r005,geometry,rastrigin,20,0.0,-38.84128583220361,-79.64252872239359,-40.80124289018998,False,False,True,False
geom_k090_r005,geometry,rastrigin,20,0.1,-35.1046767249787,-74.22760965796158,-39.12293293298288,False,False,True,False
geom_k090_r005,geometry,rastrigin,20,0.2,-31.2629414450224,-73.86939853029372,-42.60645708527132,False,False,True,False
geom_k090_r005,geometry,rastrigin,40,0.0,-48.63559840001883,-155.34043173927688,-106.70483333925804,False,False,True,False
geom_k090_r005,geometry,rastrigin,40,0.1,-33.246049739603365,-146.04124322560892,-112.79519348600556,False,False,True,False
geom_k090_r005,geometry,rastrigin,40,0.2,-36.96853760624393,-144.90640000078514,-107.93786239454121,False,False,True,False
geom_k090_r005,geometry,rosenbrock,10,0.0,2.1667428996053584,-0.1056851976969697,-2.272428097302328,True,False,True,False
geom_k090_r005,geometry,rosenbrock,10,0.1,2.0156707156372624,-0.1987057207804099,-2.2143764364176723,True,False,True,False
geom_k090_r005,geometry,rosenbrock,10,0.2,1.9687512311536377,0.384785586473011,-1.5839656446806267,True,False,True,False
geom_k090_r005,geometry,rosenbrock,20,0.0,28.988317206678627,5.989423258539693,-22.998893948138935,True,False,True,False
geom_k090_r005,geometry,rosenbrock,20,0.1,27.940058249224585,4.953140334450769,-22.986917914773816,True,False,True,False
geom_k090_r005,geometry,rosenbrock,20,0.2,28.174663946019255,4.5702859169252275,-23.60437802909403,True,False,True,False
geom_k090_r005,geometry,rosenbrock,40,0.0,-62.47905884580223,-123.29837654073737,-60.81931769493514,False,False,True,False
geom_k090_r005,geometry,rosenbrock,40,0.1,-67.62009211594906,-143.47098334341152,-75.85089122746245,False,False,True,False
geom_k090_r005,geometry,rosenbrock,40,0.2,-64.83059169289834,-125.84688157750386,-61.01628988460553,False,False,True,False
geom_k090_r005,geometry,sphere,10,0.0,0.0182942847429511,0.0048311471699556,-0.013463137572995502,True,False,True,False
geom_k090_r005,geometry,sphere,10,0.1,0.0570608013696232,0.0148302194755543,-0.042230581894068905,True,False,True,False
geom_k090_r005,geometry,sphere,10,0.2,0.0700481636406968,0.0136430142927208,-0.056405149347976,True,False,True,False
geom_k090_r005,geometry,sphere,20,0.0,0.2788117941284454,0.0671804208695565,-0.21163137325888892,True,False,True,False
geom_k090_r005,geometry,sphere,20,0.1,0.3169620104504939,0.050859266843607,-0.2661027436068869,True,False,True,False
geom_k090_r005,geometry,sphere,20,0.2,0.314051758734625,0.0550637792330616,-0.2589879795015634,True,False,True,False
geom_k090_r005,geometry,sphere,40,0.0,1.1681417571731654,1.040439675417962,-0.12770208175520348,False,False,True,False
geom_k090_r005,geometry,sphere,40,0.1,1.1289715889764125,0.999750088028943,-0.12922150094746943,False,False,True,False
geom_k090_r005,geometry,sphere,40,0.2,1.0112006513862672,0.962625541920793,-0.048575109465474275,False,False,True,False
geom_k090_r010,geometry,ellipsoid_cond1e6,10,0.0,-183.1346473157025,-183.1346473157025,0.0,False,False,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,10,0.1,-296.62265260187456,-296.62265260187456,0.0,False,False,False,False
geom_k090_r010,geometry,ellipsoid_cond1e6,10,0.2,-165.06003099436293,-165.06003099436293,0.0,False,False,False,False
