slice_level,variant_id,variant_group,function,dimension,n_runs,mean_proxy_time_to_first_floor_gen,median_proxy_time_to_first_floor_gen,mean_proxy_fraction_at_floor,median_proxy_fraction_at_floor,mean_proxy_n_floor_entries,median_proxy_n_floor_entries,mean_proxy_n_floor_exits,median_proxy_n_floor_exits,mean_proxy_n_down_steps,median_proxy_n_down_steps,mean_proxy_n_up_steps,median_proxy_n_up_steps,mean_proxy_n_neutral_steps,median_proxy_n_neutral_steps,mean_proxy_sigma_min_seen,median_proxy_sigma_min_seen,mean_proxy_sigma_max_seen,median_proxy_sigma_max_seen
function_dimension,geom_k090_r005,geometry,ellipsoid_cond1e6,10.0,300,65.05666666666667,64.0,0.1633,0.13,2.4166666666666665,2.0,2.0033333333333334,2.0,34.93,33.0,11.05,11.0,54.02,55.0,0.10356328612026452,0.1,1.7998286484800685,1.7506325637469125
function_dimension,geom_k090_r005,geometry,ellipsoid_cond1e6,20.0,300,82.68666666666667,86.0,0.09143333333333334,0.04,1.5766666666666667,1.0,1.1833333333333333,1.0,30.783333333333335,29.0,9.91,9.0,59.306666666666665,60.0,0.11002876343424996,0.1,1.722082953293046,1.6978207762226485
function_dimension,geom_k090_r005,geometry,ellipsoid_cond1e6,40.0,300,97.44,101.0,0.017300000000000003,0.0,0.34,0.0,0.2,0.0,24.61,24.0,13.26,13.0,62.13,63.0,0.12786417203643868,0.11850134769428315,1.7204913956211552,1.7062564247786425
function_dimension,geom_k090_r005,geometry,rastrigin,10.0,300,46.64,47.0,0.5321333333333333,0.53,1.44,1.0,0.44,0.0,63.32,63.0,7.09,7.0,29.59,29.5,0.09999999999999999,0.1,1.872468677690121,1.8091798153125176
function_dimension,geom_k090_r005,geometry,rastrigin,20.0,300,58.096666666666664,58.0,0.4111,0.41,1.4933333333333334,1.0,0.49333333333333335,0.0,49.623333333333335,49.0,12.306666666666667,12.0,38.07,38.0,0.09999999999999999,0.1,1.730534702922727,1.696271946576596
function_dimension,geom_k090_r005,geometry,rastrigin,40.0,300,71.59666666666666,71.0,0.24303333333333332,0.24,1.96,2.0,0.9733333333333334,1.0,36.43666666666667,37.0,16.72,17.0,46.843333333333334,47.5,0.09999999999999999,0.1,1.7111609866662134,1.7033688577437973
function_dimension,geom_k090_r005,geometry,rosenbrock,10.0,300,52.69,49.0,0.42050000000000004,0.46,1.9033333333333333,2.0,1.0266666666666666,1.0,45.31,49.0,8.356666666666667,6.0,46.333333333333336,45.0,0.10013456496908588,0.1,1.7203537195417589,1.7121070383623898
function_dimension,geom_k090_r005,geometry,rosenbrock,20.0,300,77.17666666666666,74.0,0.19643333333333332,0.21,1.6833333333333333,1.0,0.8533333333333334,1.0,23.2,23.0,14.093333333333334,14.0,62.70666666666666,62.0,0.1023376693506633,0.1,1.6844933503493313,1.6767223872473662
function_dimension,geom_k090_r005,geometry,rosenbrock,40.0,300,100.5,101.0,0.0019000000000000002,0.0,0.06333333333333334,0.0,0.05333333333333334,0.0,12.766666666666667,13.0,21.906666666666666,22.0,65.32666666666667,65.0,0.15487127738894899,0.1495038382229309,1.6983949999051717,1.698563562707371
function_dimension,geom_k090_r005,geometry,sphere,10.0,300,50.943333333333335,51.0,0.4809000000000001,0.485,1.8266666666666667,2.0,0.8366666666666667,1.0,49.586666666666666,50.0,11.013333333333334,11.0,39.4,40.0,0.09999999999999999,0.1,1.9539541206421214,1.9179757151650847
function_dimension,geom_k090_r005,geometry,sphere,20.0,300,78.63,79.0,0.2123,0.21,1.38,1.0,0.3933333333333333,0.0,20.816666666666666,21.0,25.3,25.0,53.88333333333333,54.0,0.09999999999999999,0.1,1.8045562459052773,1.7779837944780246
