noise_sigma,n_cells,median_of_cell_median_delta,mean_win_rate,cells_q_lt_0_05
0.0,12,-22.66126098038137,0.5016666666666666,11
0.1,12,-18.29215293197271,0.5025000000000001,12
0.2,12,-18.165979074829853,0.5108333333333334,12
