run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
1,eval,vanilla_cma,sphere,10,0.0,1000,1000,10,ok,,1000,100,4.5271006638323166e-05,1.0,0.0,0.03847074508666992
2,eval,vanilla_cma,sphere,10,0.0,1001,1000,10,ok,,1000,100,3.4448773630602864e-05,1.0,0.0,0.03837704658508301
3,eval,vanilla_cma,sphere,10,0.0,1002,1000,10,ok,,1000,100,3.6621518333454724e-05,1.0,0.0,0.03338003158569336
4,eval,vanilla_cma,sphere,10,0.0,1003,1000,10,ok,,1000,100,1.021741972026218e-05,1.0,0.0,0.04004502296447754
5,eval,vanilla_cma,sphere,10,0.0,1004,1000,10,ok,,1000,100,8.853186794275138e-06,1.0,0.0,0.033766984939575195
6,eval,vanilla_cma,sphere,10,0.0,1005,1000,10,ok,,1000,100,1.327652050101939e-05,1.0,0.0,0.03628277778625488
7,eval,vanilla_cma,sphere,10,0.0,1006,1000,10,ok,,1000,100,5.798383312265393e-06,1.0,0.0,0.04033803939819336
8,eval,vanilla_cma,sphere,10,0.0,1007,1000,10,ok,,1000,100,9.826956450974887e-06,1.0,0.0,0.037712812423706055
9,eval,vanilla_cma,sphere,10,0.0,1008,1000,10,ok,,1000,100,1.3459429022556809e-05,1.0,0.0,0.042124032974243164
10,eval,vanilla_cma,sphere,10,0.0,1009,1000,10,ok,,1000,100,5.45364443340885e-06,1.0,0.0,0.03308296203613281
11,eval,vanilla_cma,sphere,10,0.0,1010,1000,10,ok,,1000,100,3.1379121239457085e-05,1.0,0.0,0.03414011001586914
12,eval,vanilla_cma,sphere,10,0.0,1011,1000,10,ok,,1000,100,7.85167011225951e-05,1.0,0.0,0.039356231689453125
13,eval,vanilla_cma,sphere,10,0.0,1012,1000,10,ok,,1000,100,1.0731310090570998e-05,1.0,0.0,0.03689908981323242
14,eval,vanilla_cma,sphere,10,0.0,1013,1000,10,ok,,1000,100,4.464644883345778e-05,1.0,0.0,0.03316092491149902
15,eval,vanilla_cma,sphere,10,0.0,1014,1000,10,ok,,1000,100,6.390407803475652e-06,1.0,0.0,0.033873796463012695
16,eval,vanilla_cma,sphere,10,0.0,1015,1000,10,ok,,1000,100,1.5174218311142471e-05,1.0,0.0,0.03528308868408203
17,eval,vanilla_cma,sphere,10,0.0,1016,1000,10,ok,,1000,100,3.1271866301344536e-05,1.0,0.0,0.043077945709228516
18,eval,vanilla_cma,sphere,10,0.0,1017,1000,10,ok,,1000,100,1.6102220826332598e-05,1.0,0.0,0.03312492370605469
19,eval,vanilla_cma,sphere,10,0.0,1018,1000,10,ok,,1000,100,4.200845628208085e-05,1.0,0.0,0.04170107841491699
20,eval,vanilla_cma,sphere,10,0.0,1019,1000,10,ok,,1000,100,1.57467314896111e-05,1.0,0.0,0.04056406021118164
21,eval,vanilla_cma,sphere,10,0.0,1020,1000,10,ok,,1000,100,1.3505513330061401e-05,1.0,0.0,0.03841423988342285
22,eval,vanilla_cma,sphere,10,0.0,1021,1000,10,ok,,1000,100,7.144418042748617e-06,1.0,0.0,0.03510570526123047
23,eval,vanilla_cma,sphere,10,0.0,1022,1000,10,ok,,1000,100,8.230274874310426e-06,1.0,0.0,0.03963971138000488
24,eval,vanilla_cma,sphere,10,0.0,1023,1000,10,ok,,1000,100,5.074176853456242e-06,1.0,0.0,0.03326010704040527
25,eval,vanilla_cma,sphere,10,0.0,1024,1000,10,ok,,1000,100,2.914841725766232e-06,1.0,0.0,0.03301525115966797
26,eval,vanilla_cma,sphere,10,0.0,1025,1000,10,ok,,1000,100,3.640888235083292e-06,1.0,0.0,0.04507327079772949
27,eval,vanilla_cma,sphere,10,0.0,1026,1000,10,ok,,1000,100,3.0778332540947445e-05,1.0,0.0,0.04077410697937012
28,eval,vanilla_cma,sphere,10,0.0,1027,1000,10,ok,,1000,100,5.4733720996007004e-05,1.0,0.0,0.0329279899597168
29,eval,vanilla_cma,sphere,10,0.0,1028,1000,10,ok,,1000,100,5.228982981963901e-06,1.0,0.0,0.04802584648132324
30,eval,vanilla_cma,sphere,10,0.0,1029,1000,10,ok,,1000,100,1.8532786966021284e-05,1.0,0.0,0.03294515609741211
31,eval,vanilla_cma,sphere,10,0.0,1030,1000,10,ok,,1000,100,6.185583381625111e-06,1.0,0.0,0.03955793380737305
32,eval,vanilla_cma,sphere,10,0.0,1031,1000,10,ok,,1000,100,8.677569882318685e-06,1.0,0.0,0.03323006629943848
33,eval,vanilla_cma,sphere,10,0.0,1032,1000,10,ok,,1000,100,6.686655372990386e-06,1.0,0.0,0.04435086250305176
34,eval,vanilla_cma,sphere,10,0.0,1033,1000,10,ok,,1000,100,1.4589152191938853e-05,1.0,0.0,0.03318500518798828
35,eval,vanilla_cma,sphere,10,0.0,1034,1000,10,ok,,1000,100,1.043368352086974e-05,1.0,0.0,0.03293919563293457
36,eval,vanilla_cma,sphere,10,0.0,1035,1000,10,ok,,1000,100,1.579646243900794e-05,1.0,0.0,0.041956186294555664
37,eval,vanilla_cma,sphere,10,0.0,1036,1000,10,ok,,1000,100,9.52956106394727e-06,1.0,0.0,0.03346610069274902
38,eval,vanilla_cma,sphere,10,0.0,1037,1000,10,ok,,1000,100,9.835274550777336e-06,1.0,0.0,0.03327584266662598
39,eval,vanilla_cma,sphere,10,0.0,1038,1000,10,ok,,1000,100,3.555425433570228e-05,1.0,0.0,0.041606903076171875
40,eval,vanilla_cma,sphere,10,0.0,1039,1000,10,ok,,1000,100,2.1584531304822985e-05,1.0,0.0,0.0452730655670166
41,eval,vanilla_cma,sphere,10,0.0,1040,1000,10,ok,,1000,100,8.550800921558653e-06,1.0,0.0,0.04262208938598633
42,eval,vanilla_cma,sphere,10,0.0,1041,1000,10,ok,,1000,100,4.2820338062446045e-05,1.0,0.0,0.03527712821960449
43,eval,vanilla_cma,sphere,10,0.0,1042,1000,10,ok,,1000,100,2.2192579894290764e-06,1.0,0.0,0.04271197319030762
44,eval,vanilla_cma,sphere,10,0.0,1043,1000,10,ok,,1000,100,2.2516417173617817e-05,1.0,0.0,0.03678488731384277
45,eval,vanilla_cma,sphere,10,0.0,1044,1000,10,ok,,1000,100,3.4796795828272955e-05,1.0,0.0,0.03898000717163086
46,eval,vanilla_cma,sphere,10,0.0,1045,1000,10,ok,,1000,100,4.22174207081329e-05,1.0,0.0,0.03712797164916992
47,eval,vanilla_cma,sphere,10,0.0,1046,1000,10,ok,,1000,100,1.7421396171528103e-06,1.0,0.0,0.03822207450866699
48,eval,vanilla_cma,sphere,10,0.0,1047,1000,10,ok,,1000,100,8.092717968805525e-06,1.0,0.0,0.03685808181762695
49,eval,vanilla_cma,sphere,10,0.0,1048,1000,10,ok,,1000,100,7.871663613456565e-06,1.0,0.0,0.04032397270202637
50,eval,vanilla_cma,sphere,10,0.0,1049,1000,10,ok,,1000,100,4.5040578055819e-06,1.0,0.0,0.03645014762878418
51,eval,vanilla_cma,sphere,10,0.0,1050,1000,10,ok,,1000,100,5.979831864893975e-06,1.0,0.0,0.04192781448364258
52,eval,vanilla_cma,sphere,10,0.0,1051,1000,10,ok,,1000,100,1.4896567266610783e-05,1.0,0.0,0.04064798355102539
53,eval,vanilla_cma,sphere,10,0.0,1052,1000,10,ok,,1000,100,2.691925906670349e-05,1.0,0.0,0.04010891914367676
54,eval,vanilla_cma,sphere,10,0.0,1053,1000,10,ok,,1000,100,1.2862695166406772e-05,1.0,0.0,0.04808211326599121
55,eval,vanilla_cma,sphere,10,0.0,1054,1000,10,ok,,1000,100,5.6709067299555586e-06,1.0,0.0,0.0403902530670166
56,eval,vanilla_cma,sphere,10,0.0,1055,1000,10,ok,,1000,100,2.190248398758932e-05,1.0,0.0,0.03966093063354492
57,eval,vanilla_cma,sphere,10,0.0,1056,1000,10,ok,,1000,100,5.953907224381383e-06,1.0,0.0,0.03536510467529297
