method,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
lr_adapt_proxy,36,-18.872088786790762,0.505,0.495,0.5833333333333334,35,1.2287009464468514e-17
pop4x,36,58.69544875079048,0.07972222222222222,0.9202777777777779,0.0,36,1.2287009464468514e-17
