function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,772.5279235925334,-183.1346473157025,0.59,0.41,0.007245785591138978,0.7125395149678387,0.01053932449620215
ellipsoid_cond1e6,10,0.0,phasewall_plus_lr_tuned,100,1084.1895885976264,794.0423007727868,-115.79885474580942,0.56,0.44,0.0504172475200069,0.7323832557734314,0.06722299669334253
ellipsoid_cond1e6,10,0.0,phasewall_tuned,100,1084.1895885976264,939.2562501575318,-3.3030302737851684,0.5,0.5,0.9588674414032139,0.8663210383457357,0.972372616634245
ellipsoid_cond1e6,10,0.0,pop4x,100,1084.1895885976264,10553.492604270908,8739.787224838787,0.02,0.98,4.266322730718234e-18,9.733991836171016,1.9198452288232053e-17
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,772.6706267944583,-296.62265260187456,0.59,0.41,0.006332857655442997,0.7127032534522347,0.009305423493712158
ellipsoid_cond1e6,10,0.1,phasewall_plus_lr_tuned,100,1084.1407318568422,794.0492223431203,-115.8846306890265,0.56,0.44,0.05001389093449362,0.7324226449670671,0.06722299669334253
ellipsoid_cond1e6,10,0.1,phasewall_tuned,100,1084.1407318568422,939.29905971995,-3.274878011461823,0.5,0.5,0.9725715413852294,0.8663995661441322,0.9725715413852294
ellipsoid_cond1e6,10,0.1,pop4x,100,1084.1407318568422,10553.394789625876,8675.225921063477,0.02,0.98,4.266322730718234e-18,9.734340274763722,1.9198452288232053e-17
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,785.1307085972703,-165.0600309943629,0.59,0.41,0.00853049051665323,0.7239069497064812,0.012162283508891735
ellipsoid_cond1e6,10,0.2,phasewall_plus_lr_tuned,100,1084.574072559482,815.5001137159293,-115.69361014068437,0.55,0.45,0.06945700702786524,0.7519081769965549,0.08930186617868388
ellipsoid_cond1e6,10,0.2,phasewall_tuned,100,1084.574072559482,939.38949595077,-3.413418938449553,0.5,0.5,0.9698299436867753,0.8661367809889725,0.9725715413852294
ellipsoid_cond1e6,10,0.2,pop4x,100,1084.574072559482,10553.377165493872,8675.573314710626,0.01,0.99,4.0161556854627e-18,9.73043467707927,1.9198452288232053e-17
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,31784.610448487227,-37674.6447805527,0.9,0.1,3.1686412518635367e-15,0.44468705930407887,9.70817745251807e-15
ellipsoid_cond1e6,20,0.0,phasewall_plus_lr_tuned,100,71476.35575055666,34075.57336978627,-37270.0758471762,0.88,0.12,6.635258714789308e-15,0.476739098013134,1.8027872734521892e-14
ellipsoid_cond1e6,20,0.0,phasewall_tuned,100,71476.35575055666,68465.2222328931,-2989.4509223028217,0.51,0.49,0.615670737630266,0.9578723133539148,0.6616163150653604
ellipsoid_cond1e6,20,0.0,pop4x,100,71476.35575055666,280674.74948012887,201488.40924982697,0.07,0.93,5.649430306955949e-17,3.926819527000619,2.324337040576162e-16
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,31784.65038499892,-37674.74856099834,0.9,0.1,3.4412810293497968e-15,0.4446880774947975,1.0323843088049391e-14
ellipsoid_cond1e6,20,0.1,phasewall_plus_lr_tuned,100,71476.28190092588,34075.62239316355,-37270.13635545525,0.88,0.12,6.635258714789308e-15,0.47674027645137124,1.8027872734521892e-14
ellipsoid_cond1e6,20,0.1,phasewall_tuned,100,71476.28190092588,68465.27446389366,-2989.418514056855,0.51,0.49,0.615670737630266,0.9578740337780046,0.6616163150653604
ellipsoid_cond1e6,20,0.1,pop4x,100,71476.28190092588,280674.7077353255,201488.29176785873,0.07,0.93,5.649430306955949e-17,3.9268230001718893,2.324337040576162e-16
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,31034.774222856082,-37674.65207957549,0.9,0.1,3.1686412518635367e-15,0.43419567399634706,9.70817745251807e-15
ellipsoid_cond1e6,20,0.2,phasewall_plus_lr_tuned,100,71476.47036003675,35568.32495360114,-35138.473445424235,0.88,0.12,6.457066881944918e-15,0.49762285091077707,1.8027872734521892e-14
ellipsoid_cond1e6,20,0.2,phasewall_tuned,100,71476.47036003675,68465.08280526701,-2989.24385731425,0.51,0.49,0.615670737630266,0.9578688267677326,0.6616163150653604
ellipsoid_cond1e6,20,0.2,pop4x,100,71476.47036003675,280674.66300843505,201488.52177838102,0.07,0.93,5.649430306955949e-17,3.9268120207200834,2.324337040576162e-16
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,294630.4515314406,-620317.3470573493,0.99,0.01,4.266322730718234e-18,0.3022840177606486,1.9198452288232053e-17
ellipsoid_cond1e6,40,0.0,phasewall_plus_lr_tuned,100,974680.8769914254,275965.25598721806,-624497.4194217264,1.0,0.0,3.89655984509591e-18,0.2831339595366308,1.9198452288232053e-17
ellipsoid_cond1e6,40,0.0,phasewall_tuned,100,974680.8769914254,1035577.2906081714,28206.492840763472,0.46,0.54,0.1901952383630343,1.0624783096234705,0.22823428603564117
ellipsoid_cond1e6,40,0.0,pop4x,100,974680.8769914254,1931238.6445749186,972681.8910179297,0.08,0.92,6.928021197254875e-17,1.9814061095936617,2.5580385959094927e-16
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,294630.38492763764,-620317.4553029037,0.99,0.01,4.266322730718234e-18,0.30228394477272524,1.9198452288232053e-17
ellipsoid_cond1e6,40,0.1,phasewall_plus_lr_tuned,100,974680.8919976151,275965.1606261241,-624497.3518687766,1.0,0.0,3.89655984509591e-18,0.28313385733922786,1.9198452288232053e-17
ellipsoid_cond1e6,40,0.1,phasewall_tuned,100,974680.8919976151,1035577.2891296512,28206.627096345183,0.46,0.54,0.1901952383630343,1.062478291748624,0.22823428603564117
ellipsoid_cond1e6,40,0.1,pop4x,100,974680.8919976151,1931238.5990544236,972682.0325023015,0.08,0.92,6.928021197254875e-17,1.9814060323849552,2.5580385959094927e-16
