run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
35,tune_baseline,vanilla_cma,sphere,10,0.1,34,1000,10,0.0,ok,,1000,100,-0.24029335245651037,1.0,0.0,1.0,0.032392024993896484
36,tune_baseline,vanilla_cma,sphere,10,0.1,35,1000,10,0.0,ok,,1000,100,-0.18584516063189965,1.0,0.0,1.0,0.03312516212463379
37,tune_baseline,vanilla_cma,sphere,10,0.1,36,1000,10,0.0,ok,,1000,100,-0.29096828105795863,1.0,0.0,1.0,0.03177595138549805
38,tune_baseline,vanilla_cma,sphere,10,0.1,37,1000,10,0.0,ok,,1000,100,-0.23264779018319895,1.0,0.0,1.0,0.031100034713745117
39,tune_baseline,vanilla_cma,sphere,10,0.1,38,1000,10,0.0,ok,,1000,100,-0.22409626689283324,1.0,0.0,1.0,0.03223919868469238
40,tune_baseline,vanilla_cma,sphere,10,0.1,39,1000,10,0.0,ok,,1000,100,-0.2543085255212678,1.0,0.0,1.0,0.031355857849121094
41,tune_baseline,vanilla_cma,sphere,20,0.1,0,1000,10,0.0,ok,,1000,100,-0.11949238220996047,1.0,0.0,1.0,0.038201093673706055
42,tune_baseline,vanilla_cma,sphere,20,0.1,1,1000,10,0.0,ok,,1000,100,-0.0607897173362405,1.0,0.0,1.0,0.03750276565551758
43,tune_baseline,vanilla_cma,sphere,20,0.1,2,1000,10,0.0,ok,,1000,100,-0.12073453935045494,1.0,0.0,1.0,0.03566122055053711
44,tune_baseline,vanilla_cma,sphere,20,0.1,3,1000,10,0.0,ok,,1000,100,-0.12051734428309,1.0,0.0,1.0,0.03643608093261719
45,tune_baseline,vanilla_cma,sphere,20,0.1,4,1000,10,0.0,ok,,1000,100,-0.14914267630245442,1.0,0.0,1.0,0.03663897514343262
46,tune_baseline,vanilla_cma,sphere,20,0.1,5,1000,10,0.0,ok,,1000,100,-0.06026356984399889,1.0,0.0,1.0,0.037242889404296875
47,tune_baseline,vanilla_cma,sphere,20,0.1,6,1000,10,0.0,ok,,1000,100,-0.19616748376668514,1.0,0.0,1.0,0.03702688217163086
48,tune_baseline,vanilla_cma,sphere,20,0.1,7,1000,10,0.0,ok,,1000,100,-0.14110995088488243,1.0,0.0,1.0,0.03787708282470703
49,tune_baseline,vanilla_cma,sphere,20,0.1,8,1000,10,0.0,ok,,1000,100,-0.06608978300718649,1.0,0.0,1.0,0.039483070373535156
50,tune_baseline,vanilla_cma,sphere,20,0.1,9,1000,10,0.0,ok,,1000,100,-0.15405363466179117,1.0,0.0,1.0,0.04159212112426758
51,tune_baseline,vanilla_cma,sphere,20,0.1,10,1000,10,0.0,ok,,1000,100,-0.20391359949294693,1.0,0.0,1.0,0.0403897762298584
52,tune_baseline,vanilla_cma,sphere,20,0.1,11,1000,10,0.0,ok,,1000,100,-0.04442240721445789,1.0,0.0,1.0,0.03799891471862793
53,tune_baseline,vanilla_cma,sphere,20,0.1,12,1000,10,0.0,ok,,1000,100,-0.11153269874613922,1.0,0.0,1.0,0.03748607635498047
54,tune_baseline,vanilla_cma,sphere,20,0.1,13,1000,10,0.0,ok,,1000,100,-0.07801956256291424,1.0,0.0,1.0,0.03950619697570801
55,tune_baseline,vanilla_cma,sphere,20,0.1,14,1000,10,0.0,ok,,1000,100,-0.06835046993345914,1.0,0.0,1.0,0.039376020431518555
56,tune_baseline,vanilla_cma,sphere,20,0.1,15,1000,10,0.0,ok,,1000,100,-0.02871446435575742,1.0,0.0,1.0,0.037384986877441406
57,tune_baseline,vanilla_cma,sphere,20,0.1,16,1000,10,0.0,ok,,1000,100,-0.144389079269092,1.0,0.0,1.0,0.037214040756225586
58,tune_baseline,vanilla_cma,sphere,20,0.1,17,1000,10,0.0,ok,,1000,100,-0.06361489725168903,1.0,0.0,1.0,0.03712940216064453
59,tune_baseline,vanilla_cma,sphere,20,0.1,18,1000,10,0.0,ok,,1000,100,-0.13937357525068556,1.0,0.0,1.0,0.03738903999328613
60,tune_baseline,vanilla_cma,sphere,20,0.1,19,1000,10,0.0,ok,,1000,100,-0.07598473103019726,1.0,0.0,1.0,0.03748798370361328
61,tune_baseline,vanilla_cma,sphere,20,0.1,20,1000,10,0.0,ok,,1000,100,-0.01904515534762083,1.0,0.0,1.0,0.0367891788482666
62,tune_baseline,vanilla_cma,sphere,20,0.1,21,1000,10,0.0,ok,,1000,100,-0.00756305759201939,1.0,0.0,1.0,0.03778719902038574
63,tune_baseline,vanilla_cma,sphere,20,0.1,22,1000,10,0.0,ok,,1000,100,-0.15624341981565915,1.0,0.0,1.0,0.037191152572631836
64,tune_baseline,vanilla_cma,sphere,20,0.1,23,1000,10,0.0,ok,,1000,100,-0.07030150661961915,1.0,0.0,1.0,0.037175893783569336
65,tune_baseline,vanilla_cma,sphere,20,0.1,24,1000,10,0.0,ok,,1000,100,-0.12664947881718155,1.0,0.0,1.0,0.03684091567993164
66,tune_baseline,vanilla_cma,sphere,20,0.1,25,1000,10,0.0,ok,,1000,100,-0.10007021847357048,1.0,0.0,1.0,0.03648686408996582
67,tune_baseline,vanilla_cma,sphere,20,0.1,26,1000,10,0.0,ok,,1000,100,-0.06209867636360972,1.0,0.0,1.0,0.036895751953125
68,tune_baseline,vanilla_cma,sphere,20,0.1,27,1000,10,0.0,ok,,1000,100,-0.0526916582051534,1.0,0.0,1.0,0.037072181701660156
69,tune_baseline,vanilla_cma,sphere,20,0.1,28,1000,10,0.0,ok,,1000,100,-0.03609365231585199,1.0,0.0,1.0,0.03751707077026367
70,tune_baseline,vanilla_cma,sphere,20,0.1,29,1000,10,0.0,ok,,1000,100,-0.07617040574019526,1.0,0.0,1.0,0.037722110748291016
71,tune_baseline,vanilla_cma,sphere,20,0.1,30,1000,10,0.0,ok,,1000,100,-0.18012942826321887,1.0,0.0,1.0,0.03824806213378906
72,tune_baseline,vanilla_cma,sphere,20,0.1,31,1000,10,0.0,ok,,1000,100,-0.041508675079582336,1.0,0.0,1.0,0.03733706474304199
73,tune_baseline,vanilla_cma,sphere,20,0.1,32,1000,10,0.0,ok,,1000,100,-0.1455131796205745,1.0,0.0,1.0,0.03690695762634277
74,tune_baseline,vanilla_cma,sphere,20,0.1,33,1000,10,0.0,ok,,1000,100,-0.07385056414345112,1.0,0.0,1.0,0.03751087188720703
75,tune_baseline,vanilla_cma,sphere,20,0.1,34,1000,10,0.0,ok,,1000,100,-0.03259587668875577,1.0,0.0,1.0,0.03716611862182617
76,tune_baseline,vanilla_cma,sphere,20,0.1,35,1000,10,0.0,ok,,1000,100,-0.06534944326915984,1.0,0.0,1.0,0.03692293167114258
77,tune_baseline,vanilla_cma,sphere,20,0.1,36,1000,10,0.0,ok,,1000,100,-0.1930334479300798,1.0,0.0,1.0,0.037207841873168945
78,tune_baseline,vanilla_cma,sphere,20,0.1,37,1000,10,0.0,ok,,1000,100,-0.22410531897811203,1.0,0.0,1.0,0.03671908378601074
